essentially,"adv. 本质上, 本来"
substantially,"adv. 实质上, 本质上, 大体上"
essence,"n. 实质, 本质, 香精
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
in theory, 理论上
principle,"n. 原则, 原理, 主义
"
theorize,"vi. 建立理论, 讲理论, 推理"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abstract knowledge,无
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
"
symbolic,"a. 象征的, 符号的
"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
symbolism,"n. 象征主义, 符号论
"
representation,"n. 表示法, 表现, 陈述, 代表
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
representational,a. 代表的
conceive,"vt. 构思, 认为
vi. 怀孕"
conceivable,"a. 想得到的, 可想象的, 可理解的"
conception,"n. 观念, 概念
"
deceive,"v. 欺骗, 行骗"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
foreign accent,无
alphabet,"n. 字母
"
antonym,n. 反义词
consonant,"n. 辅音
a. 一致的, 调和的"
diction,"n. 措辞, 发音, 用语"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
language acquisition,"语言习得,掌握语言"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
suffix,"n. 后缀, 下标
vt. 添后缀
"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
prefix,"前缀, 称谓
"
syllable,"n. 音节
vt. 分成音节
"
synonym,n. 同义词
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
vocabulary,"n. 词汇(量), 词汇表
"
vocabulary quantity,无
vowel,"n. 元音
a. 元音的"
bilingual,a. 双语的
bilingual lecturing,无
cognitive,"a. 认知的, 认识的"
corpus,"n. (事物的)主体, 文集, 本金, 语料库
"
dialect,"n. 方言, 同源语"
language family,语系
lexicology,n. 词汇学
linguistic,"a. 语言的, 语言学的
"
linguistics,n. 语言学
linguist,n. 语言学家
morphology,"n. 形态学, 词法, 形态
"
phonetic,"a. 语音的, 语音学的, 表示语音的, 语音差异的
"
phonetic alphabet,[电] 无线电话字母读法
phonology,"n. 音系学, 历时音系学
"
semantics,n. [语]语义学；语义论
syntax,"n. 句法, 语法, 句子构造
"
irrigation,"n. 灌溉, 冲洗
"
irrigation sprinkler,无
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
abundantly,"adv. 大量地, 丰富地"
plentifully,"adv. 丰富地, 富裕地"
abundant,"a. 丰富的, 充分的, 大量的"
cactus,"n. 仙人掌
"
sagebrush,[医] 三齿嵩
agricultural,"a. 农业的
"
agricultural production,农业生产
agrarian,"a. 土地的, 耕地的
"
agrarian reform,[法] 土地改革法
arable,"a. 适于耕种的, 可耕的"
arable land,耕地
arid,"a. 干燥的, 不毛的"
barren,"a. 不育的, 贫瘠的
n. 荒地"
infertile,"a. 不肥沃的, 不毛的, 不结果实的"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
organic fertilizer, 有机肥料
herbicide,"n. 除草剂
"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
pesticide,"n. 杀虫剂
"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
cultivate,"vt. 培养, 耕作"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
reaper,"n. 收割者, 收割机"
output,"n. 输出, 产品, 产量
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
barn,"n. 谷仓
"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
bale loader,n. 装草机
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
tract,"n. 大片土地, 地带, 小册子
"
binder,"n. 捆缚者, 用以绑缚之物, 活页夹
"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
clod crusher,碎土块机
farm machine, 农业机械
field roller,滚转性传播植物
mower,"n. 刈草的人, 刈草机"
mow,"n. 草堆, 皱眉, 怪脸
vt. 割草
vi. 割草, 做怪脸"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
water pump,[电] 抽水机
reaper,"n. 收割者, 收割机"
harvester,"n. 收获者, 收割机"
seeder,"n. 播种者, 播种机, 去核器"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
thresher,"n. 打谷者, 打谷机, 长尾鲨"
thresh,"vt. 打谷, 摔打, 反复研究, 推敲
vi. 打谷, 鞭打, 剧烈扭动"
weeder,n. 除草者
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
weeding machine,除草机
vegetation,"n. 植物
"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
flora,"n. 植物群
"
floral,"a. 花似的, 花的, 植物的"
willow,"n. 柳树, 柳木制品
a. 柳树的, 柳木制的"
poplar,"n. 杨树, 杨木
"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
palm tree,n. 棕榈树
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
pineapple,"n. 凤梨, 菠萝, 失业救济金
"
shrub,"n. 矮树, 灌木, 果汁甜酒"
algae,"pl. 藻类, 海藻
"
seaweed,"n. 海草, 海藻
"
fern,"n. 蕨类植物
"
moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
tundra,"n. 苔原, 冻原"
scrubland,n. 灌木丛林地
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
pine bark,松树皮
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
twig,"n. 小枝, 细枝
v. 懂得, 了解"
evergreen,"n. 常绿树, 常绿植物
a. 常绿的"
evergreen tree,"n. 冬青树,常青树"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
a cluster of flower,无
anthropologist,n. 人类学家
humanist,"n. 人道主义者, 人文学者"
anthropology,"n. 人类学
"
anthropological,"a. 人类学的, 人类学上的"
anthropoid,"n. 类人猿
a. 似人的"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
universally,"adv. 宇宙, 全世界, 普遍, 一般, 普通, 全体, 一致, 通用, 万能, 广用, 广泛"
universe,"n. 宇宙, 星系, (思想等)范围"
