barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
chips,n. 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
biscuit,"n. 饼干
"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
chocolate,"n. 巧克力
a. 巧克力制的"
coffee,"n. 咖啡, 咖啡色
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
cream,"n. 乳酪, 奶油, 面霜
"
dinner,"n. 晚餐, 正餐, 宴会"
ice cream,"冰淇淋
"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
kitchen,"n. 厨房, 全套炊具
"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
pizza,n. 比萨饼
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
potato,n. 马铃薯
salad,n. 色拉
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
breakfast,n. 早餐
burger,n. 汉堡包（等于hamburger）
butter,"n. 奶油, 黄油
vt. 涂黄油于"
carrot,"n. 胡萝卜
"
cheese,"n. 乳酪
"
chicken,"n. 小鸡, 鸡肉"
dish,"n. 盘子, 碟, 菜肴
"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
fridge,n. 电冰箱
fruit,"n. 水果, 果类, 结果
"
grape,"n. 葡萄, 葡萄树
"
steak,"n. 牛排, 鱼排, 肉排"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
tomato,"n. 番茄, 西红柿"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
waiter,n. 侍者
waitress,"n. 女侍者, 女服务员"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
meat,"n. 肉, 餐, 食物
"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
lemonade,"n. 柠檬水
"
main course,"主帆, 主要课程, 主菜"
menu,"n. 菜单, (功能)选择单
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
pasta,"n. 意大利面食
"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
sandwich,"n. 三明治, 夹心面包, 夹层板
vt. 插入, 夹入, 把...制成三明治"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
