evict,"vt. 逐出, 赶出, 驱逐
"
exhale,"v. 呼气, 发出, 散发"
affinity,"n. 吸引, 姻亲关系, 类同
"
inalterable,a. 不能变更的
debase,"vt. 贬低, 降低"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
acclimate,"vt. 使适应, 使服水土
vi. 服水土, 适应新环境"
begrudge,"vt. 嫉妒, 羡慕, 勉强允给, 吝惜"
calamity,"n. 灾难, 不幸事件"
altruistic,"a. 利他的, 无私心的"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
banal,"a. 平凡的, 陈腐的"
treacherous,"a. 不可信任的, 危险的, 背叛的, 不可靠的
"
entangle,"vt. 使纠缠, 卷入, 使混乱"
ensure,"vt. 确定, 保证, 担保, 保护
"
junction,"n. 连接, 会合处, 交叉点
"
empower,"vt. 授予权力, 允许, 使能够
"
dissuade,"vt. 劝阻
"
instruct,"vt. 教, 教育, 命令, 通知
"
naive,"a. 天真的, 纯真的, 幼稚的"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
decrepit,a. 衰老的
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
wistful,"a. 渴望的, 想望的"
denote,"vt. 指示, 表示"
buoyant,"a. 有浮力的, 心情愉快的
"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
endurance,"n. 忍耐, 忍耐力, 耐性
"
irate,"a. 发怒的, 生气的"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
residential,"a. 住宅的, 与居住有关的
"
descry,"vt. 看出, 看见, 发现"
beguile,vt. 诱骗
commentary,"n. 注释, 评论, 说明
"
pacify,"vt. 使平静, 安慰, 绥靖, 使服从"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
untimely,"a. 不到时候的, 不合时令的, 不适时的"
chagrin,"n. 懊恼
vt. 使懊恼"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
oppressive,"a. 压制性的, 压迫的, 沉重的"
prescript,"n. 规定性的东西
a. 规定的, 指定的"
benign,"a. 善良的, 良性的
"
bombast,n. 夸大的言辞
greedy,"a. 贪婪的, 贪得的, 贪吃的"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
fabricate,"vt. 制造, 建造, 装配, 伪造"
unbecoming,"a. 不适合的, 不合体的, 不相配的"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
despondent,"a. 丧气的, 失望的, 没有精神的"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
