primarily,"adv. 主要地, 首先地"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
afford,"vt. 买得起, 足以, 给予"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
remain,"vi. 保持, 逗留, 剩余
"
compete,"vi. 竞争, 对抗"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
assign,"vt. 分配, 指派, 赋值
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
condemn,"vt. 判刑, 责备, 谴责
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
illustration,"n. 例证, 插图
"
