act on,"按...行动, 作用于
"
adapt to,适应…;适合…
add to,"na. 增加
"
adhere to,"执着于,坚持,粘附于,信奉…"
apply to,[计] 应用于
approve of,"赞成,批准…"
arise from,"从…中产生,由…而引起"
a bit of,一点
above all,"尤其是, 首先"
access to,有权使用
according to,"根据, 按照；取决于；据…所说"
along with,"与…一道,与…一起,连同…"
anything but,"单单除...之外, 决不"
apart from,除了...之外
as a result,结果
as a result of,作为结果
as far as,"远到, 直到, 至于"
as for,至于
as to,"根据,按照,依照;关于,至于,就…而言"
as if,"na. 彷佛；活像
"
as usual,照常
as well as,"也, 又"
at all,[网络] 高的
at all costs,不惜任何代价
at large,"未被捕, 详尽, 普遍
"
at length,"最后, 详细地"
at odds with, 与…不和，与…争吵
at risk,"un. 担风险
"
at stake,"危如累卵, 在危险中"
at the end of,"在…末尾,在…结束时"
at times,"有时, 不时"
abide by, 遵守; 信守; 忠于（某人）; 接受
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
act for,代理
adjust to,[计] 调整至
agree on,"就…取得一致意见,商定"
agree to,"同意,赞成…"
agree with,"同意…,与…意见一致;适应…"
aim at,"v. 目的在于
"
appeal to,[法] 诉诸...
apply for,"申请,请求,要求…"
argue for,"支持,为支持…而辩论"
arrive in,"到达,抵达,来到"
associate with,"v. 与…联系
"
attach importance to,重视
attach to,"v. 连接在…上；归于
"
attempt to, 尝试，企图; 试图做某事
attribute to,"na. 认为(成功)是(努力)的结果
"
avail oneself of,利用；趁(机会)，借此(机会)
alien to,和…相反；不合…
alien from,和…相反，和…相异，和…不合
all in all,"总而言之, 合计, 头等重要的东西"
all the same,仍然
a majority of,"大部分,大多数"
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约"
and so forth,等等
and so on,等等
and yet,可是
a period of, 阵子
as a whole,总体上
as opposed to,"完全不同, 截然相反, 反对, 对照"
a spell of,无
as regards,"关于, 至于"
as far as ... be concerned,"就…来说, 就…而论"
so far as ... be concerned,"就…来说, 就…而论"
as long as,只要...
so long as,只要
as yet,至今仍
at all events,无论如何
at all times,一直
at a loss,"困惑, 亏本地"
at an end,"结束,终止"
at any rate,"无论如何, 至少"
at a profit,"[经] 赚钱, 获利"
at a time,"每次, 在某时"
at fault,"感到困惑, 有故障"
at least,"至少
"
at leisure,"na. 在闲暇中；从容不迫地；失业
"
at random,"胡乱地, 随便地
"
at sea,"在大海上, 迷茫"
at short notice,"一通知就
"
at best,"na. 充其量也不过
"
at the best," 至多, 充其量"
at the cost of,以...为代价
at the expense of,"归...付费, 在损害...的情况下
"
at the instant of,无
at the latest,最迟
at the longest,至多
at the mercy of,受...支配
at the moment,此刻
at worst,"adv. 无论怎样坏
"
at the worst,"在最坏的情况下, 充其量"
at will,"随意, 任意"
a variety of,"各种各样的..., 种种..."
a flash in the pan,昙花一现
akin to, 类似于
