broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
abound,"vi. 大量存在, 富于, 充满"
abundant,"a. 丰富的, 充分的, 大量的"
abundance,"n. 丰富, 充足, 大量
"
redundant,"a. 多余的, 过多的, 冗长的
"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
abuzz,"a. 嗡嗡的, 嘈杂的"
mosquito,"n. 蚊子
"
academy,"n. 学院, 院校, 学会"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academia,"n. 学术界, 学术生涯"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
commodious,"a. 宽敞的, 方便的"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
acquire,"vt. 获得, 学到
"
acquaint,"vt. 使认识, 介绍"
acquisition,"n. 获得, 获得物
"
acquaintance,"n. 认识, 相识者"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
manager,"n. 经理, 管理员, 管理器
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
administrate,"vt. 管理, 支配"
administration,"n. 行政, 管理, 政府机关
"
adapt,"vt. 使适应, 改编
vi. 适应"
appropriate,"a. 适当的
"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
option,"n. 选择权, 挑选, 选项
"
language,"n. 语言, 文字, 措辞
"
allege,"vt. 宣称, 主张, 提出, 断言
"
allegation,"n. 断言, 主张, 申辩
"
legend,"n. 传说, 传奇文学, 图例
"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
alter,v. 改变
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
ambiguous,"a. 不明确的, 模棱两可的
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
donate,v. 捐赠
anecdote,"n. 轶事, 奇闻"
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
apartment,"n. 房间, 公寓"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
department,"n. 部门, 系, 机关
"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appreciation,"n. 感激, 赏识, 鉴别
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
appropriate,"a. 适当的
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
adapt,"vt. 使适应, 改编
vi. 适应"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
maths,n. 数学
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
approximately,"adv. 大约, 大致, 近于
"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
arise,"vi. 站立, 出现, 起来"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
transcend,"vt. 超越, 胜过"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
aspect,"n. 外观, 方面, 面貌, 方向
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
assess,"vt. 估定, 对...征税, 评定
"
asset,"n. 资产, 有益的东西"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
atmosphere,"n. 大气, 空气, 气氛
"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
detach,"vt. 使分离, 分遣
"
detached,"a. 超然的, 分离的, 冷淡的
"
at tank,无
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
tactics,"n. 用兵学, 战术, 兵法
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
attendance,"n. 出席, 出席的人数, 照料
"
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
augment,"v. 增加, 增长
"
auction,"n. 拍卖
vt. 拍卖"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
author,"n. 作家, 作家的著作, 创始人
"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
authorize,"vt. 授权, 批准, 委托
"
authentic,"a. 可靠的, 可信的, 真正的
"
went,go的过去式
avenue,"n. 大街, 途径, 林荫路"
revenue,"n. 收入, 岁入, 税收, 税务局
"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
bacteria,"pl. 细菌
"
bacterial,"a. 细菌的
"
bacterium,"n. 细菌
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
barrier,"n. 障碍, 栅栏
"
ass,"n. 驴, 傻瓜, 笨蛋, 屁股
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
cone,"n. 圆锥体, 球果
vt. 使成锥形"
beacon,"n. 烽火, 灯塔
v. 照亮"
pater,n. 父亲
patriot,"n. 爱国者, 爱国主义者"
be traitor,无
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
shareholder,"n. 股东
"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
manager,"n. 经理, 管理员, 管理器
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
womb,"n. 子宫, 发源地
"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
bruising,[化] 硬伤
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
waterfall,n. 瀑布
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
cate,"n. 佳肴, 美食"
cater,"v. 提供饮食及服务, 投合, 迎合"
cater to,迎合
because,conj. 因为
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
usual,"a. 平常的, 通常的"
cease,"n. 停止
v. 停止, 终了"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
chimney,"n. 烟囱, 灯罩
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
chart,"n. 图表, 海图
vt. 制成图表
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
chartered,a. 特许的
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
synchronize,"vt. 使同步, 使合拍
vi. 同时发生
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
clamp,"n. 夹钳
vt. 夹紧, 强加"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commend,"vt. 嘉奖, 委托给, 推荐"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
community,"n. 社区, 公众, 共有, 共同体
"
municipal,"a. 市政的, 自治区的, 内政的
"
compel,"vt. 强迫, 迫使"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
compulsory,"a. 被强制的, 强迫的, 义务的
"
necessary,a. 必要的；必然的；必需的
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complexity,"n. 复杂, 复杂性, 复杂的事物"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
complicated,"a. 复杂的
"
comply,"vi. 顺从, 依从
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
compliance,"n. 遵从, 顺从, 屈从
"
comprehension,"n. 理解, 包含"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
