state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
manifestation,"n. 显示, 证明, 示威运动
"
statistic,"n. 统计量
a. 统计的, 统计学的"
statistical,"a. 统计的, 统计上的, 统计学的
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
statement,"n. 陈述, 指令, 声明
"
understatement,"n. 软弱无力的陈述, 克制的说法
"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
statesman,n. 政治家
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
devastate,"vt. 毁坏
"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
workstation,"n. 工作站
"
status,"n. 状态, 情形, 地位, 要人身份
"
assert,"vt. 主张, 坚称, 断言
"
affirm,"v. 断言, 确认"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
publication,"n. 出版物, 出版, 公布
"
republican,"n. 共和主义者, 共和党员
a. 共和政体的, 共和国的, 共和主义的"
publicity,"n. 名声, 宣传, 公开场合
"
publicized,v. 公布；广告；宣传（publicize的过去分词）
publicly,"adv. 公然地, 以公众名义"
in public,当众
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
civil,"a. 市民的, 公民的, 有礼貌的
"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
lawful,"a. 法律许可的, 守法的, 合法的
"
lawsuit,"n. 诉讼
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
lawyer,"n. 律师
"
legislation,"n. 立法, 法律
"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
meaning,"n. 意义, 含义, 目的, 意图
a. 意味深长的"
well-meaning," 出于好心的, 好心好意的, 善意的（但常事与愿违）"
meaningless,a. 无意义的
meaningfully,adv. 意味深长地
means,"n. 方法, 手段, 工具, 财产, 收入
"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
by means of,依靠
by no means,决不
indicate,"vt. 显示, 象征, 指示, 指出
"
implication,"n. 牵连, 含义, 暗示
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
outlive,"vt. 比...经久, 比...活得长, 度过(风暴)而健在"
liveliness,"n. 活泼, 快活, 热闹"
livelihood,"n. 生计, 营生, 生活"
live off,"以...为食料, 靠...生活"
dwell,"vi. 居住, 居住(于), 存在(于)"
reside,"vi. 住, 居留, 属于
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
inhabit,"vt. 居住于, 占据, 栖息"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
federal,"a. 联邦的, 联合的, 同盟的
"
federation,"n. 联邦, 联合, 联盟
"
FBI,[网络] 美国联邦调查局
CIA,abbr. 中央情报局（Central Intelligence Agency）
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
largely,"adv. 大量地, 很多地, 大半地"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
at large,"未被捕, 详尽, 普遍
"
bulky,"a. 庞大的
"
outsize,"a. 特大的
n. 特大号"
huge,"a. 极大的, 巨大的, 无限的"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
marketplace,n. 市场
marked,"a. 有记号的, 显著的, 醒目的
"
marketer,"n. 赶集者, 市场商人
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
landmark,"n. 陆标, 划时代的事, 地界标
"
blot,"n. 污点, 墨水渍
vt. 乱涂, 使模糊, 吸干
vi. 弄上墨渍, 吸墨水"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
symbol,"n. 符号, 象征, 代号, 信条
"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
systematic,"a. 有系统的, 分类上的, 体系的
"
systematically,"adv. 有系统地, 有组织地, 有条理地"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
organization,"n. 组织, 结构, 团体, 体制
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
stressed-out," 有压力的, 紧张的"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
emphasize,"vt. 强调, 加强语气, 着重"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
gaze at,盯住
stare at,"凝视, 盯住"
glare at,怒视
