abolish,"vt. 废止, 革除, 消灭
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
accurate,"a. 正确的, 精确的
"
precise,"a. 精确的, 严谨的, 明确的
"
annoy,"vt. 使恼怒, 骚扰"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
beneficial,"a. 有益的, 受益的
"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
expense,"n. 费用, 代价, 开支, 损失
"
cite,"vt. 引用, 引证, 表彰
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
devote,"vt. 投入于, 献身"
dedicate,"vt. 献出, 贡献"
economical,"a. 节俭的, 经济的, 合算的
"
economic,"a. 经济上的, 实用的, 节省的
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
efficient,"a. 有效率的, 能干的"
eliminate,"vt. 除去, 排除, 剔除, 消除"
exclude,"vt. 除外, 排除, 排斥
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
imagination,"n. 想像, 听觉, 想像力
"
favorable,"a. 有利的, 赞许的, 良好的"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
genius,"n. 天才, 天赋, 精神, 神魔
"
talent,"n. 天才, 才能, 有才干的人, 天资"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
immerse,"vt. 沉浸, 使陷入
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
imply,"vt. 暗示, 意味
"
infer,"vt. 推论出, 推断
vi. 作推论"
importance,"n. 重要, 重要性, 重要地位, 自大
"
consequence,"n. 结果, 重要性
"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
situation,"n. 情形, 境遇, 位置
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
technology,"n. 技术, 工业技术, 术语
"
technique,"n. 技巧, 技术, 方法
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
tag,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
adventure,"n. 冒险, 冒险经历
v. 冒险"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
ripe,"a. 成熟的, 熟练的, 成年的
"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
scarce,"a. 难得的, 稀罕的, 缺乏的"
