abdomen,"n. 腹部
"
abatement,"n. 减少, 减轻, 缓和, 折扣, 撤消, 中止
"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
abolish,"vt. 废止, 革除, 消灭
"
abound,"vi. 大量存在, 富于, 充满"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
accelerate,"v. 加速, 促进"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accumulate,"v. 积聚, 堆积"
accurate,"a. 正确的, 精确的
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
acquaint,"vt. 使认识, 介绍"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
adequate,"a. 适当的, 足够的
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adjoin,"v. 邻接, 毗连"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advent,"n. 来到, 来临"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
advisable,"a. 适当的, 明智的"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
aesthetic,"a. 美学的, 审美的, 有美感的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affirm,"v. 断言, 确认"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
aggravate,"vt. 使恶化, 使更严重, 加重"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
agony,"n. 极大的痛苦, 挣扎
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
allege,"vt. 宣称, 主张, 提出, 断言
"
alleviate,"vt. 减轻, 使缓和"
allocate,"vt. 分派, 分配
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
alter,v. 改变
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
ambiguous,"a. 不明确的, 模棱两可的
"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
amiable,"a. 亲切的, 和蔼可亲的
"
analogy,"n. 相似, 类似
"
anecdote,"n. 轶事, 奇闻"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
anniversary,n. 周年纪念
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
appal,"vt. 使惊骇, 使吓坏"
apparatus,"n. 装置, 器具, 器官
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appetite,"n. 食欲, 欲望, 爱好
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
appraisal,"n. 评价, 估价
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
architecture,"n. 建筑学, 建筑式样
"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
arrogant,"a. 自大的, 傲慢的"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
