coronavirus,"n. [微]日冕形病毒,冠状病毒"
novel coronavirus,无
2019-nCoV,无
reservoir for virus,无
pneumonia,"n. 肺炎
"
novel coronavirus pneumonia,无
NCP,[计] 网络控制程序
contagious,"a. 触染性的, 会蔓延的
"
infectious,"a. 有传染性的, 易传染的
"
outbreak,"n. 爆发, 暴动
"
human-to-human transmission,无
droplet transmission,飞沫传播
imported case,无
confirmed case,确认病例
suspected case,疑似病例
secondary infection case,无
incubation period,[医] 潜伏期; 孵育期
asymptomatic infection,无症状感染
symptomless spreader,无
close contact,紧密接触
patient in critical condition,无
fatality rate,[医] 致死率
death toll,n. 死亡人数
symptom,"n. 症状, 征候, 征兆
"
fever,"n. 发烧, 发热, 热病
"
dry cough,[医] 干咳
shortness of breath,"[医] 呼吸浅促, 呼吸浅短, 气促"
breathing difficulty,无
respiratory infection, [医]呼吸道感染
"fever, cough and difficulty in breathing",无
acute respiratory infection symptom,无
seafood market,无
ground zero,n. 开始; 起点; 爆心投影点
illegal wild animals transaction,无
contain the spread,无
contain the outbreak,无
combat the virus,无
first-level public health emergency response,无
epidemic prevention and control,无
Public Health Emergency of International Concern,无
PHEIC,无
makeshift hospital, 临时医院
mobile cabin hospital,无
the lockdown of a city,无
a city is on lockdown,无
seal off the city,无
evacuate diplomats,无
be under medical observation,无
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
medical supplies,n. 医药用品；医疗设备和用品
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
face mask,
protective clothing,[医] 防护衣
protective suits,无
goggles,"n. 护目镜, 风镜
"
disposable gloves, [医]用后可弃手套
National Health Commission,无
NHC,[网络] 下一跳客户机；宿主细胞
World Health Organization,"(联合国)世界卫生组织
"
WHO,[医] 世界卫生组织
Chinese Center for Disease Control and Prevention,无
National Healthcare Security Administration,无
medical institution,[医] 医疗机构
