wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
get down to,开始认真考虑
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
prosaic,"a. 散文的, 散文体的, 平凡的"
remember,"vt. 记得, 回忆起, 记住, 铭记, 纪念
vi. 记得"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
thoroughly,"adv. 彻底地, 绝对地, 透彻地, 详尽地, 周到地, 完全地, 完善地, 全面地"
hospitality,"n. 款待, 亲切, 殷勤"
elsewhere,adv. 在别处
kindness,"n. 仁慈, 亲切, 和蔼"
weekend,"n. 周末, 周末休假"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
fortunate,"a. 幸运的, 幸福的"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
indeed,"adv. 的确, 实在, 真正地, 甚至"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
surroundings,"n. 环境, 周围的事物
"
charming,"a. 迷人的, 有吸引力的"
no wonder,不足为奇的
reciprocate,"vt. 回报, 互换, 交换, 报答, 使往复运动
vi. 往复运动, 回报, 互换, 酬答"
on behalf of,"代表...
"
be available for, 有效
language,"n. 语言, 文字, 措辞
"
campus,"n. 校园, 大学生活"
cordially,"adv. 诚恳地, 诚挚地, 诚实地"
January,n. 一月
