various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
significance,"n. 重要性, 意义, 意味
"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
operational,"a. 操作的, 运作的
"
technique,"n. 技巧, 技术, 方法
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
technician,"n. 技师
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
output,"n. 输出, 产品, 产量
"
outlook,"n. 观点, 景色, 前途, 了望
"
outcome,"n. 结果, 出口"
outlet,"n. 出口, 发泄方法, 市场
"
mechanical,"a. 机械的, 机械性的, 力学的
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
facilitate,"vt. 使容易, 促进, 帮助
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
qualification,"n. 资格, 条件, 限制
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
artificial,"a. 人造的, 假的, 非原地产的
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
affair,"n. 事件, 事务, 恋爱事件"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
confer,"vt. 授予, 带来
vi. 协商"
inference,"n. 推论
"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
preference,"n. 偏爱, 优先, 喜爱物
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
comparison,"n. 比较, 对照, 比喻
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
simplify,"vt. 单一化, 简单化"
similar,"a. 相似的, 类似的
n. 相似的东西"
eliminate,"vt. 除去, 排除, 剔除, 消除"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
superfluous,"a. 多余的, 过剩的"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
supervise,"v. 监督, 管理, 指导"
policy,"n. 政策, 方针, 策略, 保险单
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
promote,"vt. 促进, 晋升, 创办, 推销
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
prolong,"vt. 延长, 拖延, 拖长
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
proposal,"n. 提议, 计划, 求婚
"
provoke,"vt. 激怒, 惹起, 诱导
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
degree,"n. 程度, 度数, 学位, 度
"
congress,"n. 国会, 会议, 讨论会
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
procedure,"n. 程序, 过程, 手续
"
exposure,"n. 暴露, 揭发, 揭露
"
agriculture,"n. 农业
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
cautious,"a. 谨慎的, 小心的"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
anxious,"a. 忧虑的, 发愁的, 渴望的"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
professor,n. 教授
professional,"n. 专业人才
a. 专业的, 职业的"
diverse,"a. 不同的, 变化多的"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
version,"n. 一种描述, 版本, 译文
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
conversation,"n. 会话, 说话, 交谈
"
cognitive,"a. 认知的, 认识的"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
assess,"vt. 估定, 对...征税, 评定
"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
reporter,"n. 记者, 报告者
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
instrument,"n. 工具, 手段, 仪器
"
instruction,"n. 指令, 教导, 命令
"
destruction,"n. 破坏, 毁灭
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
infrastructure,"n. 基础结构, 基础设施
"
reliable,"a. 可靠的, 可信赖的
"
colleague,"n. 同事, 同僚"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
elite,"n. 精华, 精锐, 中坚分子"
intelligent,"a. 聪明的, 智能的, 了解的"
intelligence,"n. 智力, 情报, 信息
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
acquire,"vt. 获得, 学到
"
require,"vt. 需要, 命令, 要求
"
requirement,"n. 需求, 必要条件, 要求
"
acquisition,"n. 获得, 获得物
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
remain,"vi. 保持, 逗留, 剩余
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
management,"n. 经营, 支配, 管理
"
manner,"n. 样子, 礼貌, 风格
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
leadership,"n. 领导能力, 领导阶层"
relationship,"n. 关系, 关联
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
apply,"vt. 涂, 应用
vi. 申请, 适用"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complicated,"a. 复杂的
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
implication,"n. 牵连, 含义, 暗示
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
accomplish,"vt. 完成, 达到, 实现, 使完美"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
comply,"vi. 顺从, 依从
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
expression,"n. 表达, 表现, 词语, 措辞
"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
therapy,"n. 治疗
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
location,"n. 位置, 场所, 特定区域
"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
immediate,"a. 立即的, 直接的, 接近的
"
immigrant,"n. 移民
a. 移入的, 移民的"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
inevitable,"a. 不可避免的, 必然的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
insight,"n. 察看, 洞察力, 见识
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
success,"n. 成功, 成就, 胜利"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
