population explosion,[经] 人口爆炸
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
the cost of living index,"na. 生活费指数
"
money worship,拜金主义
promote cultural and ideological progress,无
low-rent housing,[网络] 廉租房；词汇例句
prime time,n. （广播电视）黄金时间
the hardworking and enterprising spirit,无
people of all nationalities,无
people of all ethnic groups,无
expansion of the gap between the poor and the rich,无
anti-poverty program,无
transport during the Spring Festival,无
road toll,养路费
attach importance to the aging problem,无
sustainable development, 可持续发展
public servants,na. 公务员；从事公用事业的个人
civil servants,n. 文职人员( civil servant的名词复数 ); 公务员; 公仆; 联合国等机构的行政人员
refuse to take passengers,无
restructure government institution,无
light rail train,无
risk investment,[经] 风险投资
preservative,"a. 有助于保存的, 有保存力的
n. 预防药, 防腐剂"
decaffeinated,a. 脱去咖啡因的
caffeine free,adj. 脱咖啡因的; 无咖啡因的
strengthen law enforcement,无
copycatting,n. 山寨，剽窃仿造的产品
IPRs,(ipr 的复数) abbr. inches per revolution 每转英寸数; inches per rack （经编织物）每腊克英寸数; inflow performance relationship (oil well) 流入性能关系（油井）; interpersonal process recall 人际关系过程回忆
intellectual property rights,知识产权
preserve the ecological environment,无
economic globalization, 经济全球化
financial crisis,"[经] 财政危机, 金融危机"
pay New Year call,无
the system of public services,无
polarization of the rich and the poor,无
poverty reduction and elimination,无
provide relief to disaster-stricken areas,无
provide relief to disaster-stricken people,无
overseas-funded enterprises,无
population aging,无
carry forward the fine traditions,无
city's landscaping plan,无
urban planning, 城市规划
red packet, 红袋子; 红包
regional disparity, 地区差异
to expand domestic demand,无
lighten the burden on the peasants,无
lighten the burden on the farmers,无
welfare lotteries,无
caffeine,"n. 咖啡因, 咖啡碱
"
melamine,"n. 三聚氰胺
"
pose no health risk,无
take a toll on health,无
counterfeit and substandard goods,无
outdated items of food,无
cancer-causing chemical,无
high-temperature cooking,无
backwardness,"n. (无比较级)向后, 相反, 倒, 回顾, 倒向, 落后, 进展缓慢, 迟疑, 智力差, 畏缩
"
communicable disease,[医] 传染病
infectious disease,[医] 传染病
people's livelihoods,无
health care, 卫生保健
patient-doctor disputes,无
housing problem,住房问题
social stability,[法] 社会稳定
cast off poverty and set out on a road to prosperity,无
shake off poverty and set out on a road to prosperity,无
throw off poverty and set out on a road to prosperity,无
recreational activities using public funds,无
pesticide residue,[化] 农药残留量
baby formulas,无
be past its sell-by date,无
substandard milk powder,无
cancer-causing toxins,无
coordinate and control food safety,无
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
death toll,n. 死亡人数
health concern,无
health issue,无
low-income household,无
public infrastructure,[网络] 公共基础设施；公共建设；公共基础建设
social security system,社会安全体系
traffic jam,"塞车, 交通阻塞"
combat corruption and build a clean government,无
comply with international standards,无
local culture,"地方文化　, 地方文化"
mainstream culture, [医]主流文化
multicultural society,无
cultural treasures,无
cultural icon,文化偶像
cultural shock,文化冲击
cultural atmosphere,无
cultural integration,文化整合
cultural needs,无
exotic culture,无
cultural deposits,无
intellectual circulation,无
cultural diversity,文化多样性
direct contact,[医] 直接接触
cross-cultural communication,[网络] 跨文化交流；跨文化交际；跨文化沟通
moral values,[网络] 道德价值；道德价值观；道德观
merge into,"并入,被吸收进…,消失在…"
mass culture, 大量培养
oriental culture,[网络] 东方文化；东方文化学介绍
cultural diplomacy,无
cultural traditions,文化传统
cultural transmission,文化传播
cultural conflict,[网络] 文化冲突；产生文化的矛盾和冲突；文化上的冲突
cultural heritage,[法] 文化遗产
cultural insights,无
national publicity film,无
paper-cut culture,无
brain drain,智囊流失
academic activity,学术活动
bilateral cooperation,[网络] 双边合作；双边的方法
cultural background, 背景光补偿；背理测验；文化背景；背景知识
alien culture,外国文化
spiritual wealth,无
Chinese Culture Week,无
simple ethnic customs,无
spiritual civilization, [法]精神文明
cradle of culture,无
arts and crafts,工艺美术
culture industry,文化工业
performing art,[网络] 表演艺术；表演的艺术；舞台艺术
the co-existence of multi-culture,无
Confucius Institute,n. 孔子学院
cultural information technology system,无
artistic taste,无
cross talk,[计] 串道; 串音; 串扰
corporate culture,企业文化
cultural feast,无
college equivalency,无
educational background, [医]教育背景; 学历
diploma,"n. 文凭, 毕业证书
"
Master's degree,硕士学位
suspend classes,无
intercultural exchange,无
tuition,"n. 学费, 讲授"
the craze for graduate school,无
learning environment, [计]学习环境
prestigious school,无
scholarship,"n. 学问, 学术成就, 奖学金"
teaching facilities,无
academic performance,学业成绩;学术成就
adult education,成人教育
compulsory education,[法] 义务教育
qualifying examination,"资格考试,资格鑑定考试"
self-discipline,"n. 自律；自我约束
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
compulsory course,必修课
top student, 优等生，尖子学生，尖子生
guidelines for education,无
study load,无
credit hours,n. （教育）学分( credit hour的名词复数 ); 学时
enthusiasm in learning English,无
psychological guidance,无
superstition,"n. 迷信
"
degree,"n. 程度, 度数, 学位, 度
"
educational innovation,教育革新
doctoral degree, 博士学位
Ph.D degree,无
dropout,"n. 退学学生, 中途退学
"
generation gap,n. 代沟
life-long learning,终身学习
investment in education,[劳经] 智力投资
junior college,专科学校
practical skills,[网络] 实用技能；实用技巧；实践技能
quality-oriented education,[网络] 教学模式素质教育
tap one's potential,无
associate professor,副教授
cramming method of teaching, 填鸭式教学
broaden one's outlook,无
continuing education, 继续教育
school dropout, 辍学
school leaver,n. 毕业生；应届生
self-training,n. 自我训练
dining hall, 大餐厅，食堂; 饭厅; 大食堂
elective course, 选修课
graduation design, 毕业设计
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
alleviate the burden on students,无
degree certificate,[网络] 学位证书；学位证明；毕业证
exam-oriented education,[网络] 应试教育
puppy love,早年初恋
teaching facilities,无
work-study program,[网络] 勤工俭学；工学计画
teach students according to their aptitude,无
political and ideological education,无
a grant-aided student,无
food allowance,无
post-doctoral,[网络] 博士后；博士后的；后研究工作
versatile,"a. 多才多艺的, 万用的, 万向的"
inequality in educational opportunity,无
obtain the first-grade scholarship,无
on-job training course,无
to become educated through independent study,无
board expenses, 膳费
Ph. D candidate,无
knowledgeable,"a. 聪明的, 有知识的"
high-pressure,[电] 高压
dedicated,"a. 专注的, 献身的"
diplomatic,"a. 外交的, 老练的
"
dutiful,"a. 尽职的, 忠实的, 顺从的, 守本分的"
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
methodical,"a. 有方法的, 有系统的"
rational,"a. 理性的, 合理的
n. 有理数"
reasonable,"a. 合理的, 明理的, 适当的
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
precise,"a. 精确的, 严谨的, 明确的
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
well-educated,"adj. 受过良好教育的
"
energetic,"a. 精力充沛的, 积极的"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
sensible,"a. 有感觉的, 敏感的, 明智的
"
purposeful,"a. 有目的的
"
