acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
accordingly,"adv. 相应地, 因此, 于是"
acquaint,"vt. 使认识, 介绍"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activity,"n. 活动, 行动, 活跃, 活力
"
additional,"a. 附加的, 另外的, 额外的
"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
adverb,n. 副词
advisable,"a. 适当的, 明智的"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aeroplane,"n. 飞机
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
agony,"n. 极大的痛苦, 挣扎
"
agreeable,"a. 令人愉快的, 同意的
"
air-conditioning,"用空调设备调节空气, 空调设备
"
aisle,"n. 走廊, 侧廊, 过道
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
allege,"vt. 宣称, 主张, 提出, 断言
"
alleviate,"vt. 减轻, 使缓和"
alliance,"n. 联盟, 联合
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
alter,v. 改变
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
ambulance,"n. 救护车
"
amid,"prep. 在其间, 在其中
"
angel,"n. 天使, 守护神, 善人"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
apparatus,"n. 装置, 器具, 器官
"
applause,"n. 鼓掌, 喝彩, 赞许"
appliance,"n. 器械, 用具, 应用
"
applicable,"a. 合适的, 可应用的
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
ashore,"adv. 向岸, 在岸上"
aspire,"vi. 渴望, 立志于"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assembly,"n. 与会者, 集会, 装配, 组件
"
assert,"vt. 主张, 坚称, 断言
"
asset,"n. 资产, 有益的东西"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
assurance,"n. 保证, 把握, 信心, 保险
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
attorney,"n. 代理人, 律师
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
auction,"n. 拍卖
vt. 拍卖"
audio,"a. 音频的, 声音的
"
auditorium,"n. 听众席, 礼堂
"
auto,"n. 汽车
pref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的"""
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
aviation,"n. 航空, 航空学, 飞行术
"
await,"vt. 等候
vi. 等待着"
awe,"n. 敬畏
vt. 使敬畏"
axe,"n. 斧, 斧头
vt. 削减(人员、经费、计划、机构等)"
axis,"n. 轴
"
badge,"n. 徽章, 标记
"
bail,"n. 保释, 拎环, 杓, 栅栏
vt. 保释, 舀水"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
banner,"n. 旗帜
a. 显著的, 特别好的"
barely,adv. 几乎不
barn,"n. 谷仓
"
barrel,"n. 桶
vt. 装入桶内"
beloved,"a. 心爱的
n. 心爱的人"
bet,"n. 打赌, 赌注
v. 打赌"
beverage,"n. 饮料
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
bible,n. 圣经
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
blend,"vt. 混合
n. 混合"
blog,n. 博客；部落格；网络日志
bloody,"a. 血腥的, 嗜杀的, 有血的"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
bold,"a. 大胆的
n. 粗体
"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
breakdown,"n. 崩溃, 故障
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
briefcase,n. 公事包
brow,"n. 眉毛, 额
"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
bulb,"n. 球茎, 电灯泡
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
bull,"n. 公牛
"
bullet,"n. 子弹
"
bulletin,"n. 公告, 布告, 公报
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
bureau,"n. 局, 办公处
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
calorie,n. 卡路里（热量单位）
campus,"n. 校园, 大学生活"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
cape,"n. 岬, 海角, 披肩, 斗蓬"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
cargo,"n. 货物
"
cashier,"n. 出纳员
"
cease,"n. 停止
v. 停止, 终了"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
certainty,"n. 确定, 确实的事情
"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
chap,"n. 小伙子, 颌, 龟裂
v. 皲裂"
characterise,"vt. 表示...的特性, 成为/是...的特性, 刻划/描述...的性格
vi. 在文艺作品中塑造人物, 描绘性格"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
cherish,"vt. 珍爱, 怀有, 爱护"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
chin,"n. 下巴, 颏
"
china,"n. 中国, 瓷器
a. 中国的"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
