able,"a. 能干的, 能够的"
ability,"n. 能力, 才干
"
enable,"vt. 使能够
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
disability,"n. 无力, 无能, 残疾
"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
beside,prep. 在旁边
besides,"prep. 除...之外
adv. 而且, 此外"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
environmental,"a. 周围的, 环境的
"
advantageous,"a. 有利的, 有益的"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
onto,prep. 在...之上
below,"prep. 在下面
adv. 在下面"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
ago,adv. 以前
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
headmost,a. 最先的
mostly,"adv. 大概, 大部分, 主要
"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
afterwards,"adv. 然后, 后来"
back,"a. 后面的
vt. 使后退, 支持
vi. 倒退, 背靠
adv. 向后地
n. 背部, 后面"
behind,"adv. 在后地
prep. 在...背后"
toward,"prep. 向, 对于, 为了
a. 即将来临的, 进行中的"
towards,"prep. 向, 对于, 为了"
upon,"prep. 在...之上, 迫近, 紧接着"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
amid,"prep. 在其间, 在其中
"
among,prep. 在...之中
between,prep. 在...之间
center,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
receptor,"n. 受体, 感觉器官
"
readmit,vt. 重新接纳
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
headache,"n. 头痛, 令人头痛之事
"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
crosswise,"adv. 斜地, 成十字状地, 交叉地
"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
via,"prep. 经由, 经过, 通过
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activity,"n. 活动, 行动, 活跃, 活力
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
lively,"a. 活泼的, 鲜明的, 生动的"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
actual,"a. 真实的, 实际的, 现行的
"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
factual,"a. 事实的, 实际的
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
teenager,n. 十三岁到十九岁的少年
young,"a. 年轻的, 无经验的, 朝气蓬勃的
n. 青年们, 幼小动物, 崽"
youth,"n. 年轻, 青年时代, 青年们, 青春
"
youngster,"n. 小孩, 年轻人, 少年
"
child,"n. 孩子, 产物, 追随者
"
