define,"vt. 定义, 规定, 使明确
"
definition,"n. 定义, 精确度, 清晰度
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identifiable,"a. 可辨认的
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
determine,"v. 决定, 决心"
determinism,"n. 决定论
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
behavior,"n. 行为, 举止
"
behavioral,a. 行为的
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
manner,"n. 样子, 礼貌, 风格
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
require,"vt. 需要, 命令, 要求
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
claimant,"n. 提出要求者, 原告
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
assert,"vt. 主张, 坚称, 断言
"
assertion,"n. 断言, 主张
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
affirm,"v. 断言, 确认"
allegation,"n. 断言, 主张, 申辩
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
ownership,"n. 所有权, 物主身份
"
property,"n. 财产, 所有权, 性质, 属性
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
statement,"n. 陈述, 指令, 声明
"
statesman,n. 政治家
understatement,"n. 软弱无力的陈述, 克制的说法
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
specify,"vt. 详列, 指定, 说明
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
explanation,"n. 解释, 说明, 辩解, 表明
"
explanatory,"a. 说明的, 解释的, 辩明的
"
interpretation,"n. 解释, 演出, 翻译
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
misinterpretation,[计] 错误判断
exemplify,"vt. 例证, 例示
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
