cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
financial,"a. 财政的, 金融的
"
afford,"vt. 买得起, 足以, 给予"
tuition,"n. 学费, 讲授"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
remit,"vt. 宽恕, 赦免, 免除, 汇出, 缓解, 减轻, 把...提交, 使恢复原状, 推迟
vi. 缓解, 汇款
n. 移交的事物"
donation,"n. 捐赠物, 捐款, 捐赠
"
noble cause,[网络] 崇高目的；伟大的事业；崇高的目的
Project Hope,n. 希望工程
offer financial aid,无
seek out,"搜出, 挑出"
pay for,付...款
on an annual basis, 年同比
secondary education,中等教育
remit one's donation,无
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
conference,"n. 会议
"
globalization,"[计] 全球化, 普及到世界范围"
requirement,"n. 需求, 必要条件, 要求
"
familiarity,"n. 熟悉, 精通, 亲密"
proficiency,"n. 精通, 熟练, 精练"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
preference,"n. 偏爱, 优先, 喜爱物
"
experienced,"a. 富有经验的, 老练的, 熟练的"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
enquiry,"n. 询问
"
encourage,"vt. 鼓励, 支持, 激励
"
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
be needed for sth.,无
the theme of sth.,无
proficiency in sth.,[网络] 熟练；精通；熟练精通
sense of responsibility, 责任感
experienced in sth.,有…经验
reception,"n. 接待, 接受, 招待会
"
cultural,"a. 文化的, 教养的, 修养的
"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
beforehand,adv. 预先
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
thank sb. for sth.,[网络] 感谢；为……感谢；就…而感谢
cultural exchange program,无
leave a deep impression upon sb.,无
mention doing sth.,无
be warmly welcomed,无
best regards, 诚挚的问候; 最好的祝福; 致敬
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
fiction,"n. 小说, 虚构故事
"
bet,"n. 打赌, 赌注
v. 打赌"
manager,"n. 经理, 管理员, 管理器
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
description,"n. 描述, 说明, 种类
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
recommend sth. to sb.,向…推荐
as follows,如下
