a bit,一点儿；有一点儿
a body of, 一群，一队。后加单数谓语动词
a case in point,恰当的例子
a chance of lifetime,无
a once-in-a-life-time opportunity,无
a copy of,一份
a couple of,"一对..., 三两个..."
a fraction of,一小部分的
a handful of,"一小撮,少数"
a host of,"许多,一大群"
a large number of,"大量的..., 许多..."
a large quantity of,大量...
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约"
a multitude of,"大批的,大量的,许许多多的…"
a number of,许多的
a passing fad,无
a range of, 一系列; 一些; 一套
a sea of,"无限的, 很多的"
a sequence of,"一个…的序列,一系列…"
a series of,"一系列..., 一批..."
a string of,n. 一串的，一系列，一批; 一连串
a sum of,无
a swarm of,"一大群,蜂拥而至的"
a ton of,[网络] 许多；大量的
a variety of,"各种各样的..., 种种..."
a wide range of,"范围广泛的,一连串的,变化幅度大的,参差不平"
a majority of,"大部分,大多数"
the majority of,大多数...
abandon oneself to,沉溺于
abide by, 遵守; 信守; 忠于（某人）; 接受
abound in,v. 富于; 盛产
abound with,"充满,有大量的…,盛产…"
above all,"尤其是, 首先"
absence of mind,心不在焉
access to,有权使用
accomplish one's purpose,无
accord with,"与...符合, 与...一致"
according to,"根据, 按照；取决于；据…所说"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
accountable for,对…(事)负责
accuse sb. of,"un. 控告
"
accustom ... to,使习惯于
acquaint ... with,"na. 把(事实)告知(某人)
"
across the globe,无
around the globe,[网络] 全球；世界各地；环球旅行
act on,"按...行动, 作用于
"
adapt to,适应…;适合…
adapt oneself to,使(自己)适应于(某种环境)；使(自己)习惯于(某事)；使(自己)对…通融
adapt ... for,把…改成…; 为…改…
add to,"na. 增加
"
add up to,合计达
addict oneself to,"v. 沉溺于,使吸毒成瘾"
adhere to,"执着于,坚持,粘附于,信奉…"
adjust to,[计] 调整至
against all odds,尽管很困难
against all the odds,尽管形势不利
agitate for,鼓吹…
agree upon,"就…取得一致意见,商定…"
agree on,"就…取得一致意见,商定"
agree with,"同意…,与…意见一致;适应…"
ahead of,在…之前
ahead of schedule,提前
aim at,"v. 目的在于
"
all at once,"突然, 同时
"
all but,"几乎, 差一点"
all in all,"总而言之, 合计, 头等重要的东西"
all manner of,各种各类的
all night long,整夜
all over again,"完全重做,从头开始"
all over,"全部结束, 到处, 浑身"
all round,"周围, 四处"
all sorts of,各种各样的，种种
all the same,仍然
all the time,始终
allow for,"虑及, 体谅"
allow of,容许
ally with,与…结盟
along with,"与…一道,与…一起,连同…"
alternate between,交替
amount to,"[经] 等于, 相当于"
amuse sb. by doing sth.,无
an average of,平均有
answer for, 符合（…需要）; 对…负责; 充当…; 许诺
anything but,"单单除...之外, 决不"
apart from,除了...之外
appeal to,[法] 诉诸...
apply for,"申请,请求,要求…"
apply oneself to,致力于
apply to,[计] 应用于
approach to, 接近
approve of,"赞成,批准…"
approximate to,"近于,接近"
argue for,"支持,为支持…而辩论"
argue against,"反对,为反对…而辩论"
argue with,和…辩论
arise from,"从…中产生,由…而引起"
around the corner,"在拐角处, 在附近, 即将来临"
around the clock,"连续一整天, 连续一昼夜, 二十四小时"
round the clock,连续一整天
arrange for,"为…作安排,安排某人做…"
as a matter of fact,事实上
as a result,结果
as a rule,通常
as far as,"远到, 直到, 至于"
so far as,"远至…;就…来说,在…范围内,至于"
as follows,如下
as for,至于
as good as,"和...几乎一样, 实际上等于..."
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
as long as,只要...
so long as,只要
as regards,"关于, 至于"
as to,"根据,按照,依照;关于,至于,就…而言"
as usual,照常
as well as,"也, 又"
as far as ... be concerned,"就…来说, 就…而论"
so far as ... be concerned,"就…来说, 就…而论"
ascribe ... to,"v. 把…归于
"
aside from,除...以外
ask around, 到处打听
ask ... over, 请（某人）来自己家
ask ... round,"ask round
邀请(某人)来家(常指短时间的)：
We asked her round for dinner on the weekend.
我们在周末请她到家里来吃饭。
(多方)打听，询问:
If you're looking for a good nurse,you'd better ask round the neighbourhood.
你要找个好保姆，最好向邻居多打听一下。"
assert oneself,坚持自己的权利
assign to,"un. 指定(时间、地点)；提出(理由等)；分配；分给…用
"
associate ... with,"v. 与…联系
"
assure sb. of sth.,"un. 查明
"
at best,"na. 充其量也不过
"
at the best," 至多, 充其量"
at most,至多
at the most,最多
at worst,"adv. 无论怎样坏
"
at the worst,"在最坏的情况下, 充其量"
at a loss,"困惑, 亏本地"
at a premium,"在票面价值以上, 非常珍贵
"
at a standstill,"停止,停顿"
at all costs,不惜任何代价
at all events,无论如何
at any rate,"无论如何, 至少"
at birth,在出生时
at ease,"na. 自由自在；=stand at ease.
"
at every turn,"事事, 经常"
at fault,"感到困惑, 有故障"
at first glance," 一看就, 初看, 乍看起来"
at first sight,乍一看
at hand,"在手边, 在附近, 即将到来"
at hazard,"在危急中, 随便地"
at intervals,"不时, 相隔一定距离"
at issue,"在争论中, 不和
"
at large,"未被捕, 详尽, 普遍
"
at least,"至少
"
at leisure,"na. 在闲暇中；从容不迫地；失业
"
at length,"最后, 详细地"
at liberty,"自由, 有空"
at no time,决不
at odds,不一致
at odds with, 与…不和，与…争吵
at once,立刻
at one time,"同时, 曾经"
at one's convenience,"最方便地, 最合适地"
at one's disposal,[法] 自由处置
at one's expense,无
at one's wits' end,"智穷计尽, 不知所措"
at present,"现在, 目前"
at random,"胡乱地, 随便地
"
at risk,"un. 担风险
"
at sea,"在大海上, 迷茫"
at stake,"危如累卵, 在危险中"
at the cost of,以...为代价
at the expense of,"归...付费, 在损害...的情况下
"
at the height of,在…最盛的时候
at the mercy of,受...支配
at the moment,此刻
at the outset,"开始,起初"
at the prospect of,一想到…
at the rate of,以…速度
at the risk of,"冒...的危险, 有...的危险/可能"
at the start," 开始, 起初"
at the thought of,一想起
at the time of,在...的时候
at the time that,无
at the very least,"至少, 起码, 无论如何"
at times,"有时, 不时"
at will,"随意, 任意"
at work,"在工作, 在运转"
at the rear of,无
in the rear of,在…之后；在后面，在背后；在后方
attach importance to,重视
attach oneself to,"依附, 参与"
attend to, 处理; 注意; 听取; 致力于
attitude toward,vt. 对。。。的态度，意见
attitude towards,态度，看法
attract one's attention,无
attribute ... to,"na. 认为(成功)是(努力)的结果
"
avail oneself of,利用；趁(机会)，借此(机会)
available for,适用，宜于；有效
away from,"离开,远离,脱离,不在"
back and forth,来回地
back away,逐渐后退
back down,"放弃要求, 取消前言"
back off,后退
back out,"停止不干, 食言
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
bang against,碰在…上
bang into,猛撞着某人〔某物〕
bank on sb.,"指望, 依赖"
bank on sth.,"指望, 依赖"
bargain for,"指望, 想以廉价买"
bargain on,"指望,预料"
base on,"v. 根据
"
be in the mood for sth.,无
be in the mood to do sth.,无
be not in the mood for sth.,无
be not in the mood to do sth.,无
be about to,即将
be absent from,缺席
be absorbed in,"全神贯注于, 专心于"
be abundant in,"富于,有很多"
be accused of, [法]被起诉
be accustomed to,习惯于
be adapted to,"v. 适合于；适应
"
be addicted to,沉迷于…
be adequate for,无
be adjacent to,"与…毗邻,靠近…."
be advisable to do,无
be alien from,与…相异
be alien to,与...不同
be annoyed with,被(某人)烦扰
be applicable to,(适)用于
be ashamed of,"感到羞耻, 惭愧"
be associated with, 和…联系在一起; 与…有关
be attached to,"附属于, 喜爱"
be aware of,知道
be away from, 远离；从…离开; 距离
be beneficial to,有益于
be better off,境况好
be biased against,"na. 对…抱有偏见
"
be blind to,"对…视而不见,看不懂"
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be bound up with,与...有密切关系
be capable of,能够
be cautious about,无
be certain of,确信
be characterized by,"具有...的特性, 其特性为..."
be comparable with,"与...可比较的, 比得上...的"
be comparable to,"与...可比较的, 比得上...的"
be compatible with,"适合, 一致"
be composed of,由...组成
be concerned about,关心...
be concerned with,"涉及..., 与...有关"
be confident in,信任...
be confident of,确信...
be conscious of,意识到...
be consistent with,与...一致
be content with,以...为满足
be contrary to,与...相反
be critical of,不满
be crucial to,[网络] 对……至关重要；决定性的；重要的
be curious about,对...感到好奇
be deemed as,[网络] 被视为
be deficient in,缺乏，欠缺…，在…方面有所不足
be dependent on,"依靠, 依赖"
be dependent upon,依靠(他人供给吃、住、钱等)，依赖；随…而定；依…而转移
be deprived of,"被剥夺了…,失去…"
be designed to do,无
be dissatisfied with,对…不满意
be dissatisfied at,对...不平
be distinct from,与…不同
be divided into, [法]划分为
be doomed to,注定要…
be doubtful about,无
be eager to do,渴望(做)...
be easy of access,无
be eligible for,"适合…,有资格…"
be enthusiastic about,对…热心
be entitled to,[法] 有资格或权利...
be envious of,"忌妒, 羡慕"
be equal to,"胜任, 相等, 合适"
be equivalent to,"[计] 等价的, 等效的, 等值的"
be essential to,对…必要的
be exhausted from,无
be exposed to,"[计] 曝光, 曝露"
be faced with,"面对,面临着…"
be familiar to,对…熟悉的
be familiar with,熟悉
be fascinated by, 迷；迷醉
be fearful of,害怕
be filled with,充满…
be fit to,[网络] 适合
be good for,"值得, 有效"
be grounded in,[网络] 以……为根据；以……为基础
be happy with,[网络] 对……感到满意；对…满意；高兴
be identical to,与...相同
be identical with,与...相同
be immersed in,陷于
be immune from,无
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be implicit in,无
be inclined to do, 倾向于做
be inclusive of,包括…
be independent of,"独立于...之外, 不受...支配, 与...无关, 不依赖..."
be indispensable to,v. 必需
be indispensable for,无
be indicative of,"表示..., 提示..., 指示..., 暗示..."
be indifferent to,对…漠不关心
be indignant at,[网络] 对某事感到愤慨；都某事感到愤慨
be indignant with,对…感到愤慨
be inferior to,"劣于..., 比...差"
be innocent of,"没有...的, 无...的"
be instrumental in,[网络] 在某方面起到关键作用；在某方面起作用
be intent on,"一心想,专心于,坚持要"
be involved in, 涉及，专心; 卷入
be irrelevant to, 与。。。不相干，不切题
be irrespective of,无
be isolated from, 绝缘
be jealous of,妒嫉
be junior to,[网络] 年龄小于；比……年轻；比…年少
be keen on,喜爱
be keen to do,想做
be known as,被认为是
be known for,因...而众所周知
be lack of,无
be liable for,"有...责任, 有...义务"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be loyal to,忠于...
be married to,"和…结婚,嫁给"
be meant to,"有意要,打算"
be nervous about,无
be objective about,无
be obliged to, 不得不; 只得; 必须
be obsessed with,被…困扰
be open to,"对...开放, 愿接受...的"
be opposed to,"反对..., 与...相对"
be optimistic about, 对于…感到乐观; 看好
be partial to,"对...偏袒的, 对...过分错爱的"
be peculiar to,是...所特有的
be popular with,为...所喜欢
be prepared for,为…作好了准备
be proficient in,"熟练, 精通"
be prone to,"有...的倾向, 易于"
be proud of,"自豪, 高兴"
be puzzled about,无
be relevant to,与...有关
be reluctant to do,无
be remarkable for,因…而引人注意
be resistant to,"抵抗...的, 对...有耐药力的"
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
"
be rigorous with,无
be satisfied with,对...感到满意
be scheduled for,"订于…,定于…"
be secondary to,无
be sensitive to,"敏感, 灵敏"
be sick of,"厌恶, 厌倦"
be skeptical of,无
be skeptical about,无
be skillful in,擅长...
be skillful at,擅长...
be soft on,"爱上
钟情于
对......温柔"
be stubborn about,无
be stuck in, 困于，停止不前，动弹不得
be stuck with,"〈俚〉被…缠住无法摆脱,遇到困难无法进行下去"
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
be suitable for,"适合…,适用于…"
be suited for,适合…
be suited to,[网络] 适合于；适宜；合适
be superior to,"优于…,胜过…,比…更优越;不受…影响,不为…所动"
be supposed to,"应该, 被期望"
be sure of,"确信..., 肯定..., 对...有把握"
be susceptible of,能…的;容许的
be susceptible to,"易患..., 对...敏感"
be suspicious of,怀疑
be tempted to do,无
be terrified at,被...吓了一跳
be terrified with,被...吓了一跳
be tired of,厌烦
be to blame,该受责备
be tolerant of,"忍耐,容忍,对…有忍耐力"
be typical of,是...的特点
be unaware of,"不知道, 不注意"
be unfamiliar with,"不熟悉…,对…很陌生"
be up to,"胜任,达到,由…负责"
be used to do,无
be weary of,"厌烦, 不耐烦"
be willing to do, 愿意做某事
be unwilling to do,无
be worse off,比以前更穷〔不愉快、不健康〕
be worth doing,无
be worthy of,"值得,应得到"
be fed up,"吃得过饱, 极厌倦"
be fed up with,"饱受,厌烦"
get fed up,无
get fed up with,无
be in shape, 身体好
get in shape,[网络] 健身；恢复体型；保持身材
be on a diet,"进规定的饮食, 节食"
go on a diet,"用规定食谱, 节食"
bear up,"承受, 使振作, 始终忠于, 驶向下风"
bear ... a spite,无
owe ... a spite,无
beat around the bush,"转弯抹角, 旁敲侧击, 拖延谈及正题"
beat about the bush,旁敲侧击
beat ... to the punch,[网络] 先发制人；捷足先登；抢得先机
because of,因为
before long,不久以后
behave oneself,"使举止规矩, 使运转正常"
behind one's back,在某人的背后
behind schedule,落后于预定计划
behind the scenes,"在后台, 在幕后
"
believe in,"信仰, 信任"
belong to,属于
bend over backwards,"矫枉过正, 拼命"
bend over backwards to do,无
benefit from,从…获利
benefit by,"得益于…,从…中获得好处"
beside the point,"离题, 不中肯"
between jobs,[网络] 失业；待业中；工作之间
beyond question,无可争辩
beyond all question,"无可置疑, 毫无疑问"
beyond description,"无法形容,难以名状"
beyond dispute,"没有争论余地, 无疑地
"
beyond expression,无法表达
beyond one's comprehension, 不可理解
beyond words,无法用语言表达
bid for,"要求,争取,投标,出价竞买"
bid up,"哄抬(价钱)
"
blame sb. for sth.,[网络] 因……责备；责怪；因…怪罪
blast off,点火起飞
blunder about,v. 瞎闯；乱撞
blunder around,[网络] 碌碌
blunder on,"偶然找到,偶然发现"
blunder upon,无意中发现;偶然碰见
boast about,自夸
boast of,吹嘘;引以自豪地拥有
boil down to,归结为
boot up, [计]引导，启动
bounce back, 受挫折后恢复原状; 回声; 卷土重来
bound for, 驶往
branch off,分叉
branch out,"长出枝条, 扩展范围"
break a promise,"不守诺言
"
break away,"突然离开, 脱离, 放弃"
break away from,"摆脱,脱离"
break down,"v. 分解；抛锚；分析；划分
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into,"破门而入, 侵占
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
break the back of,"毁坏…,伤害…的要害;完成…最困难的部分"
break through,"突围, 突破
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
brighten up,"使愉快,使生辉"
brim with,充满，充溢，充盈
brim over with,满溢
bring about,"na. 造成；带来；【航】(使船)回转
"
bring back,"na. 送回；使恢复；使回忆起
"
bring down,na. 降低；击落；削减；使落下
bring forth,使产生
bring forward,"na. 提出(计划等)；提示；提前；公开
"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
bring out,"na. 公布；说出；出版；上演
"
bring sth. into sth., 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
bring to,"na. 使恢复知觉；【航】使停船
"
bring up,"na. 抚养；教导；教育；在…长大
"
bring into effect,"实现, 实施"
carry into effect,"实行, 实现
"
put into effect,"使生效, 执行...
"
bring ... into practice,实行，实施；付诸实践
put ... into practice,"na. 实行
"
brood about,无
brood over,"郁郁而思,沉思冥想"
brood on,"郁郁而思,沉思冥想"
brush aside,"扫除, 漠视"
brush off,"na. 刷去；打发走；摒弃；逃掉
"
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
build up,"树立, 增进, 增大, 堵塞
"
bump against,"撞上,偶然碰见"
bump into,偶然遇见
bump along,颠簸而行
bump down,颠簸而行
bundle up,"na. 同“bundle”
"
burn down,"烧成平地, 火力减弱
"
burn out,"烧坏, 烧掉, 烧尽
"
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
but for,要不是
but then,但另一方面
but then again,[网络] 但是一样的是；但在那时；话说回来
butt in,"插手, 干涉"
buy off,na. (用贿赂)收买；用钱疏通
buy out,na. 出钱使某人出让地位
buy up,"na. 囤积；整批收购；购进(其他公司)
"
buzz about, 闹哄哄地跑来跑去
buzz around," <俚>匆忙而紧张地行动, 乱哄哄地跑来跑去"
by a large margin,无
by accident,偶然
by all means,"尽一切办法, 一定"
by analogy,用类推的方法
by and large,"大体上, 基本上"
by chance,"偶然, 也许"
by comparison,比较起来
by contrast,"对比起来, 与之相比, 相反地"
by courtesy of,蒙...好意
by design,"故意地, 蓄意地"
by far,显然
by hand,用手
by heart,"凭记忆, 记住"
by inference,"[法] 根据推理, 推论"
by means of,依靠
by mistake,由于差错
by nature,天生地
by no means,决不
by occasion of,"因为,由于"
by reason of,"由于, 因为"
