disastrous,"a. 损失惨重的, 悲伤的"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
fate,"n. 命运, 运气
vt. 注定"
rating,"n. 等级, 额定功率, 责骂
"
literacy,"n. 读写能力, 识字, 精通文学"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
equip,"vt. 装备, 配备
"
distort,"vt. 扭曲, 歪曲
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
wing,"n. 翅膀, 翼, 机翼, 派别
vt. 给...装上翼, 飞过, 使飞, 空运, 增加...速度
vi. 飞行"
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
statistics,"n. 统计学, 统计资料
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
association,"n. 协会
"
defense,"n. 防卫, 防卫物
"
govern,"v. 统治, 支配, 管理"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
await,"vt. 等候
vi. 等待着"
complicated,"a. 复杂的
"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
solution,"n. 解决, 解答, 溶液
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
assurance,"n. 保证, 把握, 信心, 保险
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
eve,"n. 前夕, 前夜"
conceive,"vt. 构思, 认为
vi. 怀孕"
detect,"vt. 发现, 察觉, 探测
"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
rely,"vi. 信赖, 依赖, 信任"
deceive,"v. 欺骗, 行骗"
sub,"n. 补充人员, 部下, 潜水艇, 胶层, 订户, 傻子
a. 附属的, 次级的
vt. 替代, 转包
vi. 替代
"
famine,"n. 饥荒, 缺乏, 饥饿"
strategy,"n. 战略, 策略
"
cumulative,"a. 累积的
"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
bewilder,"vt. 使迷惑, 使不知所措"
density,"n. 密度
"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
preside,"vi. 统辖, 当主人, 主持
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
reliable,"a. 可靠的, 可信赖的
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
circuit,"n. 电路, 环(行)道, 巡回
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
essence,"n. 实质, 本质, 香精
"
alleviate,"vt. 减轻, 使缓和"
basis,"n. 基础, 主要成分
"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
maturity,"n. 成熟, 完备, 到期
"
peculiarity,"n. 特质, 特性, 怪癖"
parasite,"n. 寄生生物, 寄生虫, 食客
"
