time-out,n. [体]暂停比赛时间; [计]超时
create,"vt. 创造, 建造, 引起, 任命"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
"
workshop,"n. 工场, 车间, 研讨会
"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
priority,"n. 优先权, 优先
"
schoolwork,"n. 学校作业, 家庭作业"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
organizational,"a. 组织的
"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
magical,"a. 魔术的, 有魔力的, 不可思议的"
depend,"vi. 靠, 视...而定, 信赖"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
preference,"n. 偏爱, 优先, 喜爱物
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
online,[计] 联机
appealing,"a. 有感染力的, 动人的, 恳求的"
option,"n. 选择权, 挑选, 选项
"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
reminder,"n. 提醒的人, 暗示
"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
memo,"n. 备忘录
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
distraction,"n. 娱乐, 分心的事物, 分心
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
IM,"na. 'im = him
"
text,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
accomplish,"vt. 完成, 达到, 实现, 使完美"
CEO,[网络] 首席执行官；鹰牌控股执行总裁；执行长
educational,"a. 教育的, 教育性的"
prep,"n. (英)(非正式)准备功课, 预备学校, 预料
a. (美)(非正式)预备的, 准备的
vi. 进预备学校, 进行预备训练, 自修, 自我训练
vt. 预备, 给病人作手术前的准备, 准备"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
multitask,"n. 多重任务
vt. 使处理多重任务"
turn in,"v. 向里弯曲
"
work on,"继续工作, 设法说服, 影响"
figure out,"合计为, 计算出, 明白"
of course,当然
depend on,"依靠, 依赖"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
"
keep track of,了解
on the go," 活跃, 忙个不停"
set aside,"na. 搁置；拨出；驳回
"
take a break,"休息,暂停,中断"
all at once,"突然, 同时
"
at a time,"每次, 在某时"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
waitperson,n. （餐厅、旅馆的）服务员
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
number-one,"自己, 自己的利益, 头号, 头等"
decision,"n. 决定, 决心, 决断
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
