absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
according to,"根据, 按照；取决于；据…所说"
accurate,"a. 正确的, 精确的
"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
actual,"a. 真实的, 实际的, 现行的
"
additional,"a. 附加的, 另外的, 额外的
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admission,"n. 准许进入, 入场费, 录用, 承认
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
afford,"vt. 买得起, 足以, 给予"
against,"prep. 反对, 对着, 倚靠"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
eim, [医][=excitability-inducing material]兴奋诱导物质
album,"n. 粘贴簿, 唱片套
"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
although,"conj. 虽然, 尽管"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
bei,abbr. 行为事件访谈法（Behavioral Event Interview）；无白金式电子点火（Breakerless Electronic Ignition）；英国国际电气公司（British Electricity International Ltd.）
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
cliff,"n. 悬崖, 绝壁"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
population,"n. 人口, 人口数
"
region,"n. 区域, 地带, 地区, 领域, 范围, 区
"
scenery,"n. 风景, 景色, 舞台布景"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
rocky,"a. 岩石的, 多石的, 像岩石的, 无情的, 摇动的, 摇晃的"
