excessive,"a. 过度的, 过多的, 极端的
"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
adrift,"adv. 漂流地, 漂浮着, 随波逐流地
a. 漂浮着的"
outburst,"n. 爆发, 突发, 破裂, 暴乱"
barometer,"n. 气压计
"
rubble,"n. 粗石, 碎砖, 粗石堆"
eternal,"a. 永恒的, 永远的, 不灭的"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
glacier,n. 冰川
clergy,"n. 牧师, 僧侣, 神职人员"
gutter,"n. 排水沟, 槽, 贫民区
vt. 开沟于
vi. 流
"
aftermath,"n. 结果, 后果
"
boulder,"n. 大圆石
"
eviction,"n. 逐出, 赶出
"
regress,"n. 退回, 复归权, 回归, 倒退, 退步, 退化, 退行
vi. 退回, 复归, 回归, 倒退, 退步, 退化, 退行"
antiquity,"n. 古老, 古代, 古代人, 古物"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
etiquette,"n. 礼仪, 礼节, 成规
"
tribute,"n. 贡物, 礼物, 颂辞"
distribution,"n. 分配
"
surveillance,"n. 监视, 监督
"
terrorist,"n. 恐怖分子
"
Kindle,"vt. 点燃, 使着火, 引起, 照亮
vi. 着火, 激动, 发亮"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
onslaught,"n. 突击, 猛击, 猛攻"
fiery,"a. 炽热的, 热烈的, 暴躁的"
gigantic,"a. 巨人般的, 巨大的"
fragile,"a. 易碎的, 脆的
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
precariously,adv. 不安全地；不牢靠地
evacuate,"v. 疏散, 撤出, 排泄"
workshop,"n. 工场, 车间, 研讨会
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
ensure,"vt. 确定, 保证, 担保, 保护
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
dispel,"vt. 驱散, 驱逐"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
excerpt,"n. 摘录
v. 引用, 摘录"
impaired,a. 受损的
abolish,"vt. 废止, 革除, 消灭
"
thoroughfare,"n. 通路, 大道"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
tentativeness," 固定, 暂定价"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
monopolize,"vt. 独占, 垄断
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
concession,"n. 特许, 让步, 认可
"
legislation,"n. 立法, 法律
"
unanimously,"adv. 全体一致, 无异议, 一致同意"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
inhibition,"n. 禁止, 抑制, 压抑
"
shortlist,n. <英>供最后挑选(或考虑)用的候选人名单
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
elicit,"vt. 引出, 推导出, 引起"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
stipend,"n. 薪金, 定期生活津贴
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
ethical,"a. 伦理的, 民族的, 民族特有的
"
jovial,"a. 快活的, 高兴的, 愉快的
"
illusion,"n. 幻影, 错觉, 幻想
"
rebellion,"n. 谋反, 叛乱, 反抗
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
prolong,"vt. 延长, 拖延, 拖长
"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
imminent,"a. 即将来临的, 逼近的"
specially,"adv. 特别地, 专门地"
intently,"adv. 一心一意地, 心无旁物地, 专心地"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
intently,"adv. 一心一意地, 心无旁物地, 专心地"
venue,"n. 犯罪地点, 审判地, 发生地点"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
therapy,"n. 治疗
"
dreary,a. 沉闷的
autonomous,"a. 自治的
"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
gullible,"a. 易受骗的
"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
elite,"n. 精华, 精锐, 中坚分子"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
consultancy,"n. 商量, 协商, 磋商, 会诊, 与...商量, 咨询, 请教, 找(医生)看病, 查阅, 考虑
"
constitute,"vt. 构成, 组成, 任命
"
standstill,"n. 停止, 停顿
"
trimmings,n. 香肠原料肉（trimming复数形式）
productive,"a. 能生产的, 有生产价值的, 多产的
"
civic,"a. 市的, 市民的, 公民的
"
overwhelming,"a. 压倒性的, 无法抵抗的"
seniority,"n. 长辈, 老资格
"
paranormal,"a. 超过正常的, 超过科学可知范围的
"
cessation,"n. 停止
"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
prosecutor,"n. 实行者, 告发者, 公诉人
"
blockade,"n. 阻塞
vt. 封锁"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
irritable,"a. 易怒的, 急躁的
"
jackpot,"n. 最大赌注, (彩票的)头奖, 最大成功, 意外的成功/奖赏, 困境"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
archaeologist,n. 考古学家
brochure,"n. 小册子, 小册"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
tantalize,"vt. 逗弄, 使干着急"
glamorous,"a. 富有魅力的, 迷人的"
skid,"vt. 刹住, 滚滑
vi. 打滑
n. 刹车, 滑动垫木"
renunciation,"n. 放弃, 废弃, 弃权, 脱离关系
"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
formula,"n. 客套语, 公式, 准则
"
staggering,"a. 蹒跚的, 巨大的, 惊人的
"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
evenly,"adv. 平衡地, 平坦地, 平等地"
rosette,"n. 蔷薇结, 蔷薇花饰, 装饰圆窗
"
inflict,"vt. 施以, 加害, 使承受
"
guru,"n. 古鲁(印度教导师)
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
pneumonia,"n. 肺炎
"
discriminate,"v. 区别, 差别待遇"
payroll,"n. 工资名单, 饷金名单, 发放的工资总额
"
facilitate,"vt. 使容易, 促进, 帮助
"
anonymously,adv. 不具名地；化名地
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
spectrum,"n. 光谱, 范围, 系列
"
trudge,"n. 沉重的步伐, 长途跋涉
vi. 步履艰难地走, 蹒跚地走
vt. 跋涉"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
promulgate,"vt. 发布, 公布, 发表, 传播
"
mercifully,adv. 仁慈地
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
wholesome,"a. 有益健康的, 合乎卫生的, 健全的, 有益的, 有生气的, 审慎的"
ecological,"a. 生态学的, 主张生态保护的
"
afterworld,"n. 阴间,阴世,后代,后世"
anniversary,n. 周年纪念
app,"[计] 应用, 应用程序; 相联并行处理器"
architecture,"n. 建筑学, 建筑式样
"
automated,a. 自动化的；机械化的
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
tugboat,"n. 拖船
"
oblong,"n. 长方形, 长椭圆形
a. 长方形的, 长椭圆形的"
arguably,adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
afterlife,"n. 来世, 下半生"
focal,"a. 焦点的, 在焦点上的
"
blizzard,"n. 大风雪, 暴风雪"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
subsidize,"vt. 补助, 资助, 贿赂
"
scrabble,"vi. 扒寻, 摸索, 挣扎
vt. 扒成, 急急搜索
n. 扒, 抓, 摸索, 挣扎"
disadvantage,"n. 缺点, 不利, 坏处"
hormone,"n. 荷尔蒙
"
apprenticeship,"n. 学徒身分, 见习(期)
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
commentator,"n. 评论员, 实况广播员, 注释者, 时事评论员"
informative,"a. 提供消息的, 见闻广博的"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
disappointment,n. 失望
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
instantaneously,"adv. 即刻, 立即"
intimidation,"n. 恐吓, 威胁
"
cosmetic,"n. 化妆品
a. 化妆用的"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
outcast,"a. 被逐出的, 被遗弃的, 无家可归的
n. 被驱逐的人, 流浪者"
presumably,"adv. 推测上, 大概"
pilgrimage,"n. 朝圣, 漫游, 人生的一段经历
vi. 朝拜, 朝圣, 漫游"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
distinct,"a. 清楚的, 显著的, 不同的"
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
gadget,"n. 小配件, 小玩意, 诡计"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
inquire,"v. 询问, 问明, 查究"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
font,"n. 字体, 字形, 洗礼盘, 泉
"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
emotional,"a. 情绪的, 情感的
"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
parliament,"n. 国会, 议会
"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
lava,"n. 熔岩, 火山岩
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
guffaw,"v. 哄笑, 狂笑
n. 哄笑, 狂笑"
habitual,"a. 习惯的, 惯常的, 平常的
"
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
viral,"a. 病毒的, 病毒引起的
"
footage,"n. 英尺长度, 英板尺, (影片的)连续镜头"
procurement,"n. 获得
"
influx,"n. 流入, 河口, 汇集
"
reassurance,"n. 安心, 放心, 再保证"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
prototype,"n. 原型
"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
diminish,"v. (使)减少, (使)变小"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
proximity,"n. 接近, 亲近"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
anthropologist,n. 人类学家
tumultuous,"a. 吵闹的, 纷乱的, 骚乱的
"
juggle,"vi. 玩戏法, 行骗, 篡改
vt. 耍弄, 歪曲, 篡改
n. 玩戏法, 魔术, 欺骗"
fidgety,"a. 不安的, 不沉着的, 烦燥的, 难以取悦的"
slouch,"n. 没精打采的样子, 耷拉, 笨人
vi. 没精打采地走, 耷拉着
vt. 使低垂"
acquaintance,"n. 认识, 相识者"
autopsy,"n. 验尸
"
exclaim,"v. 大叫, 呼喊, 大声叫"
incentive,"n. 动机
a. 激励的"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
median,"a. 中央的, 中间的, 正中的
n. 正中动脉, 中位数, 中线"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
democratic,"a. 民主的
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
