bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
diagnose,v. 诊断
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
sarcastic,"a. 讽刺的, 讥讽的"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
guideline,"n. 指导路线, 方针, 指标
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
inhale,"vt. 吸入
vi. 吸气"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
aisle,"n. 走廊, 侧廊, 过道
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
strife,"n. 争吵, 竞争, 冲突"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
awe,"n. 敬畏
vt. 使敬畏"
