apply,"vt. 涂, 应用
vi. 申请, 适用"
application,"n. 应用, 申请, 志愿书, 应用程序
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
competence,"n. 胜任, 职称, 能力
"
capacity,"n. 容量, 能力, 才能, 资格
"
capable,"a. 有能力的, 能的, 能干的"
adequate,"a. 适当的, 足够的
"
expertise,"n. 专家意见, 专门技术
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
dispatch,"vt. 派遣
n. 派遣, 急件
"
assign,"vt. 分配, 指派, 赋值
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
arrange,"v. 安排, 排列, 达成协议
"
arrangement,"n. 排列, 整齐, 安排
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
adapt,"vt. 使适应, 改编
vi. 适应"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
chore,"n. 零工, 家务
"
bustle,"n. 喧闹, 裙撑
vi. 奔忙, 喧闹
vt. 使忙碌, 催促"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
incentive,"n. 动机
a. 激励的"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
immerse,"vt. 沉浸, 使陷入
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
facilitate,"vt. 使容易, 促进, 帮助
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
exert,"vt. 发挥, 运用, 施以影响
"
