abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
insane,"a. 患精神病的, 极愚蠢的
"
barter,"n. 物物交换, 实物交易
v. 物物交换, 交换"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
abolish,"vt. 废止, 革除, 消灭
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
perimeter,"n. 周长, 周界, 边缘
"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
famine,"n. 饥荒, 缺乏, 饥饿"
relentless,"a. 无情的, 冷酷的, 残酷的"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
provided,"conj. 倘若, 以...为条件"
grouchy,"a. 不高兴的, 不平的"
orthodox,"a. 正统的, 传统的, 惯常的"
transmute,"vt. 使变形, 使变质
vi. 变形, 变质"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
gadget,"n. 小配件, 小玩意, 诡计"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
foresight,"n. 远见, 深谋远虑
"
premiere,"v. 初次公演, 首次露面
n. 初次的演出
a. 首次的, 首位的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
onslaught,"n. 突击, 猛击, 猛攻"
hasty,"a. 匆匆的, 轻率的, 性怠的"
denial,"n. 否认
"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
bigoted,"a. 盲从的, 固执己见的, 执迷的, 顽固的"
jagged,"a. 锯齿状的
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
intravenous,"a. 静脉内的
"
encourage,"vt. 鼓励, 支持, 激励
"
hatred,"n. 憎恨, 仇恨, 憎恶
"
flicker,"n. 闪烁, 闪光, 颤动
vi. 闪动, 闪烁, 摇动, 扑动翅膀
vt. 使摇曳, 使闪烁"
overfill,"vt. 装得太多, 装到满溢, 充满
vi. 满溢"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
frowzy,"a. 不整洁的, 有臭味的, 很闷的"
laboratory,"n. 实验室, 研究室, 化工厂
"
dogma,n. 教条
discern,"v. 辨别, 看清楚, 了解"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
fuzzy,"a. 有微毛的, 模糊的
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
excellent,"a. 优良的, 杰出的, 出色的"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
decrepit,a. 衰老的
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
narrate,"v. 说故事, 说明, 叙述"
amenity,"n. 便利设施, 适意, 礼仪
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
inquire,"v. 询问, 问明, 查究"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
improvise,"vt. 即席创作, 临时做"
infer,"vt. 推论出, 推断
vi. 作推论"
candid,"a. 坦白的, 率直的, 公正的"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
contour,"n. 轮廓
vt. 画轮廓
a. 显示轮廓的
"
vigor,"n. 精力, 活力"
allot,"vt. 分配, 分摊指定
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
diversity,"n. 差异, 多样性
"
homotherm,n. 恒温动物
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
recession,"n. 后退, 凹处, 衰退, 归还
"
gush,"n. 涌出, 滔滔不绝地讲话
v. 涌出, 迸出, 滔滔不绝的讲话"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
accustomed,"a. 惯常的, 习惯了的"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
attitude,"n. 态度, 看法, 姿势
"
