abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
according,"a. 相符的, 根据...而定的
adv. 相应地"
acronym,"n. 首字母缩拼词, 首字母组合词
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
alter,v. 改变
always,"adv. 总是, 始终"
analogy,"n. 相似, 类似
"
analysis,"n. 分析
"
analyze,"vt. 分析, 细察, 分解
"
annotate,"v. 作注解, 注释
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
appropriate,"a. 适当的
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
argument,"n. 争论, 论证, 论据, 自变量
"
arrange,"v. 安排, 排列, 达成协议
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
aspects,n. 方面( aspect的复数形式 ); 面貌; 方位; 样子
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assert,"vt. 主张, 坚称, 断言
"
assess,"vt. 估定, 对...征税, 评定
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
audience,"n. 听众, 观众, 读者
"
authentic,"a. 可靠的, 可信的, 真正的
"
background,"n. 背景, 背景资料
"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
brainstorm,"n. 灵机一动
v. 集体讨论"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
calculate,"v. 计算, 预测, 计划, 打算"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
category,"n. 种类, 类项
"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
chart,"n. 图表, 海图
vt. 制成图表
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
citation,"n. 引用, 引证, 引用文
"
cite,"vt. 引用, 引证, 表彰
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
composition,"n. 作文, 创作, 组成
"
conceive,"vt. 构思, 认为
vi. 怀孕"
concise,"a. 简洁的, 简明的"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
