abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abbreviation,"n. 缩写词, 缩写, 缩短, 节略"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
ability,"n. 能力, 才干
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abolish,"vt. 废止, 革除, 消灭
"
abound,"vi. 大量存在, 富于, 充满"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
absentee,"n. 缺席者, 不在者
"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountant,"n. 会计人员, 会计师
"
accrue,"vi. 自然增加, 产生
"
accumulate,"v. 积聚, 堆积"
accurate,"a. 正确的, 精确的
"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquire,"vt. 获得, 学到
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
actual,"a. 真实的, 实际的, 现行的
"
adapt,"vt. 使适应, 改编
vi. 适应"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
additional,"a. 附加的, 另外的, 额外的
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
adequate,"a. 适当的, 足够的
"
adjourn,"vi. 休会, 换地方
vt. 使中止, 推迟"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
administration,"n. 行政, 管理, 政府机关
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
adventure,"n. 冒险, 冒险经历
v. 冒险"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
afford,"vt. 买得起, 足以, 给予"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
after-sales,"adj. 出售以后的
"
afterthought,n. 事后的想法
again,"adv. 再一次, 又, 到原处"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agriculture,"n. 农业
"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
aircraft,"n. 航空器, 飞机
"
airline,"n. 航线, 航线的设备, 航空公司"
aisle,"n. 走廊, 侧廊, 过道
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
allocate,"vt. 分派, 分配
"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
along,"adv. 平行地, 向前
prep. 沿着"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
although,"conj. 虽然, 尽管"
altogether,"adv. 完全地, 总而言之"
amateur,"n. 业余爱好者, 外行, 爱好者
"
amaze,vt. 使吃惊
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
amount,"n. 总数, 总额
vi. 总计, 等同"
analyse,"vt. 分析, 细察, 分解
"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
anniversary,n. 周年纪念
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
annoy,"vt. 使恼怒, 骚扰"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
apologise,vi. 道歉（等于apologize）
apparently,"adv. 表面上, 清楚地, 显然地"
appear,"vi. 出现, 显得, 来到
"
appendix,"n. 附录, 附加物, 阑尾
"
appetizer,"n. 开胃食品, 吊胃口的东西
"
appliance,"n. 器械, 用具, 应用
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appoint,"vt. 任命, 指定, 下令
"
appointment,"n. 约会, 委任的职位, 委派
"
apportion,"vt. 分配, 分摊, 分派
"
appraisal,"n. 评价, 估价
"
appraiser,"n. 评价人, 鉴定人, 估价人
"
