justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
railway,"n. 铁路, 轨道
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
notebook,"n. 笔记本, 手册, 期票簿"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
yen,"n. 日元(日本货币单位), 渴望, 嗜好
vi. 渴望"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
dumb,"a. 哑的, 不说话的, 无声音的
"
government,"n. 政府, 内阁
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
birth,"n. 出生, 起源
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
producer,"n. 生产者, 制作者, 制作人
"
saver,"n. 节省...的器具, 节约装置, 省俭的人
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
salary,"n. 薪水
vt. 给...加薪"
shopkeeper,"n. 零售商, 店主, 老板"
healthcare,"n. 医疗保健；卫生保健；健康护理, 健康服务"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
employer,"n. 雇主, 老板
"
cargo,"n. 货物
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
rarely,"adv. 很少地, 罕有地"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
unit,"n. 单位, 分队, 部队, 单元, 部件, 装置
a. 单位的, 单元的
"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
healthy,"a. 健康的, 有益健康的, 卫生的
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
attitude,"n. 态度, 看法, 姿势
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
happen,"vi. 发生, 发生, 恰巧"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
population,"n. 人口, 人口数
"
percent,"n. 百分比, 百分数, 部分
"
bold,"a. 大胆的
n. 粗体
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
bureau,"n. 局, 办公处
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
customer,"n. 消费者
"
globalization,"[计] 全球化, 普及到世界范围"
experienced,"a. 富有经验的, 老练的, 熟练的"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
member,"n. 成员, 会员
"
mile,"n. 英里, 很大距离
"
expectation,"n. 期待, 指望, 展望
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
classical,"a. 古典的, 正统派的, 经典的
"
attractive,"a. 吸引人的, 有魅力的
"
building,"n. 建筑物, 建筑
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
enable,"vt. 使能够
"
comparison,"n. 比较, 对照, 比喻
"
furnish,"vt. 供给, 提供, 装设
"
luggage,"n. 行李, 皮箱"
appetite,"n. 食欲, 欲望, 爱好
"
embassy,"n. 大使馆, 大使馆全体人员
"
recent,"a. 最近的, 近代的, 最新的
"
difficulty,"n. 困难, 难点"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
goods,"n. 货物
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
owing,"a. 未付的, 亏欠的, 受惠的, 归因于...的
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
nil,"n. 无, 全无, 零
"
spokesman,"n. 发言人, 代言者"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
skilful,"a. 灵巧的, 熟练的, 制作精巧的"
skillful,"a. 熟练的, 巧妙的
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
enormous,"a. 巨大的, 庞大的"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
convenient,"a. 方便的, 合宜的
"
haircut,"n. 理发, (男子的)发式"
exception,"n. 例外, 除外, 异议
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
secretary,"n. 秘书, 书记, 大臣
"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
difficult,a. 困难的
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
exploratory,"a. 探究, 探查, 探察(伤处), 探险, 探测, 勘探, 考察, 钻研, 探索
"
tourist,"n. 观光客, 旅行者
a. 旅游的"
reality,"n. 实在, 事实, 实体, 逼真
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
earn,"vt. 赚得, 获得, 博得
"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
pollute,"vt. 污染, 弄脏, 玷污
"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
unemployed,"a. 失业的, 未被利用的
"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
trainee,"n. 实习生, 新兵, 受培训者
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
beneath,"prep. 在...下方
adv. 在...下方"
