recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
inveterate,"a. 根深的, 成癖的, 积习的
"
successive,"a. 继承的, 连续的
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
flounder,"vi. 挣扎, 折腾；错乱地做事或说话"
bustle,"n. 喧闹, 裙撑
vi. 奔忙, 喧闹
vt. 使忙碌, 催促"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
stalemate,"n. 僵持状态, 僵局, 陷于困境, 胶着状况
vt. 将...逼和, 使僵持, 使陷入困境"
epigram,"n. 警句, 讽刺短诗"
fender,"n. 防卫物, 挡泥板"
hapless,"a. 倒霉的, 不幸的"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
treaty,"n. 条约, 谈判
"
metaphysical,"a. 形而上学的, 纯粹哲学的, 抽象的"
vindictive,"a. 有报仇心的, 怀恨的, 惩罚的
"
gruff,"a. 粗哑的, 粗鲁的, 粗率的, 板着脸孔的"
narrate,"v. 说故事, 说明, 叙述"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
poetic,"a. 诗的, 诗意的, 诗人的"
intermittent,"a. 间歇的, 断断续续的
"
forego,"vt. 放弃, 在...之前, 居先"
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
knowledgeable,"a. 聪明的, 有知识的"
frisky,"a. 乱跳的, 欢闹的"
unruly,"a. 难控制的, 无法无天的, 任性的"
epitaph,"n. 墓志铭, 碑文"
potent,"a. 有力的, 有说服力的, 有效的
"
silt,"n. 淤泥
vt. 使淤塞
vi. 淤塞"
misdemeanour,"n. 行为不端
"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
temerity,"n. 鲁莽, 蛮勇"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
delinquency,"n. 行为不良, 失职
"
fervent,"a. 热的, 炎热的, 热心的"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
assuming,"a. 傲慢的, 僭越的, 不逊的"
chore,"n. 零工, 家务
"
odium,"n. 憎恶, 讨厌, 臭名"
defame,"vt. 诽谤, 中伤, 破坏名誉
"
cosset,"n. 供玩赏的小动物, 爱畜
vt. 宠爱, 珍爱, 溺爱"
mirage,"n. 海市蜃楼, 幻景, 妄想"
natal,"a. 出生的, 诞生的
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
jubilant,"a. 欢呼的, 喜洋洋的"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
photosynthesis,"n. 光合作用
"
acerbic,"a. 酸的, 尖刻的"
indebted,"a. 负债的, 受惠的
"
circumspect,"a. 细心的, 慎重的"
outcry,"n. 尖叫, 倒彩, 强烈抗议, 喊价
vi. 喊叫
vt. 叫得比...响"
nascent,"a. 发生中的, 开始存在的, 初期的
"
paucity,"n. 少数, 少量, 缺乏"
confiscate,"vt. 没收, 把...充公, 查抄
a. 被没收的"
verbatim,"a. 逐字的, 照字面的
adv. 逐字地"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
irascible,"a. 易怒的, 暴躁的"
plummet,"n. 测深锤, 铅坠
vi. 垂直落下"
