abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abolish,"vt. 废止, 革除, 消灭
"
absenteeism,"n. 经常无故缺席, 旷职, 旷工, 旷课
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abundant,"a. 丰富的, 充分的, 大量的"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
accelerate,"v. 加速, 促进"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
accompaniment,"n. 伴随物, 附加物, 伴奏"
accomplish,"vt. 完成, 达到, 实现, 使完美"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordingly,"adv. 相应地, 因此, 于是"
accountant,"n. 会计人员, 会计师
"
accounting,"n. 会计学, 帐单, 清帐
"
accretion,"n. 自然增大, 添加, 添加物, 连生
"
accrue,"vi. 自然增加, 产生
"
accumulate,"v. 积聚, 堆积"
accuracy,"n. 精确, 正确
"
accurate,"a. 正确的, 精确的
"
accustomed,"a. 惯常的, 习惯了的"
acidity,"n. 酸性
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acoustic,"a. 听觉的, 声学的, 音响的
"
acoustical,"a. 听觉的, 声学的"
acquiesce,"vi. 默许, 默然同意"
acquire,"vt. 获得, 学到
"
acquisition,"n. 获得, 获得物
"
acreage,"n. 英亩数, 土地面积
"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activism,"n. 激进主义, 行动主义, 能动论
"
activist,n. 激进主义分子
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
adapt,"vt. 使适应, 改编
vi. 适应"
adaptation,"n. 适应, 改编, 改编本
"
adapter,"n. 适应者, 改编者, 接合器
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addictive,a. 上瘾的
addition,"n. 加法, 增加的人(或物)
"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adherence,"n. 依附, 固执, 坚持
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
