aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
abeyance,"n. 中止, 暂搁, 停止, 归属待定
"
abstemious,"a. 有节制的, 节约的"
aesthetic,"a. 美学的, 审美的, 有美感的"
alacrity,"n. 敏捷, 轻快, 乐意"
alleviate,"vt. 减轻, 使缓和"
amalgamate,"v. 使汞齐化, 合并"
ambiguous,"a. 不明确的, 模棱两可的
"
ambivalence,"n. 矛盾情绪
"
ameliorate,"v. 改善, 改良, 改进"
anachronism,"n. 时代错误, 不合潮流的人(物)
"
analogous,"a. 类似的, 相似的
"
anarchy,"n. 无政府状态, 政治混乱
"
anomalous,"a. 不规则的, 反常的
"
antipathy,"n. 厌恶, 反感
"
apathy,"n. 无感情, 无兴趣, 冷漠
"
apprise,vt. 通知
approbation,"n. 认可, 满意
"
appropriate,"a. 适当的
"
arcane,"a. 神秘的, 晦涩难解的"
arduous,"a. 费力的, 努力的, 险峻的"
artless,"a. 无虚饰的, 单纯的, 自然的"
ascetic,"n. 苦行者, 禁欲者, 修道者
a. 苦行的, 禁欲的"
aspersion,"n. 诽谤, 中伤, 洒水
"
assiduous,"a. 勤勉的, 刻苦的"
attenuate,"a. 纤细的, 稀薄的, 稀释的
vt. 使减弱, 使纤细
vi. 变稀薄, 变纤细, 减少
"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
austere,"a. 严峻的, 禁欲的, 简朴的"
aver,"vt. 断言, 坚称
"
banal,"a. 平凡的, 陈腐的"
belie,"vt. 掩饰, 与...不符, 使失望"
beneficent,"a. 仁慈的, 慈善的, 善行的"
bombastic,"a. 夸大的, 夸夸其谈的"
boorish,"a. 粗野的, 粗鄙的"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
burnish,"vt. 擦亮, 打磨, 磨光
vi. 磨光发亮
n. 光辉, 光泽"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
cacophonous,"a. 发音不和谐的, 粗腔横调的"
cant,"n. 伪善之言, 黑话, 斜面, 角落
vi. 讲黑话, 倾斜"
capricious,"a. 反复无常的, 多变的, 任性的"
castigation,"n. 惩罚, 苛评, 修订"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
causality,"n. 因果关系
"
chicanery,"n. 强词夺理, 狡辩, 欺骗"
coagulate,"v. (使)凝结
a. 凝结的"
commensurate,"a. 同量的, 同等的, 相称的"
compendium,"n. 纲要, 概略
"
complaisant,"a. 谦恭的, 殷勤的, 顺从的"
conciliatory,"a. 安抚的, 和好的, 调和的"
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
confound,"vt. 使混淆, 使狼狈, 挫败"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
conundrum,"n. 谜语, 难题"
conventional,"a. 传统的, 习惯的, 约定的
"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
cosmology,"n. 宇宙哲学, 宇宙论
"
craven,"n. 懦夫, 怯懦者, 胆小鬼
a. 怯懦的, 畏缩的, 胆小的"
credence,"n. 信任, 祭器台, 供桌, 凭证
"
decorum,"n. 端正, 礼貌, 合宜, 礼仪"
deference,"n. 顺从, 尊重"
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
demotic,"a. 人民的, 民众的, 通俗的"
demur,"vi. 提出异议, 反对, 抗辩
n. 异议, 反对"
denigrate,"vt. 使变黑, 玷污, 诋毁"
denouement,"n. 结局, 终场"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
desiccate,"vt. 使干, 干贮
vi. 变干"
desultory,"a. 散漫的, 无条理的, 不连贯的"
diatribe,"n. 抨击, 谴责"
dichotomy,"n. 两分, 分裂, 二分法
"
diffidence,"n. 无自信, 畏缩, 羞怯"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
disabuse,"vt. 解迷惑, 使省悟"
discordant,"a. 不调和的, 不和的"
discrepancy,"n. 不符合, 差异, 不相符之处
"
discrete,"a. 不连续的, 离散的
"
disingenuous,"a. 不老实的, 不诚实的, 狡猾的"
disinterested,"a. 无私欲的, 廉洁的, 公平的"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
disparage,"vt. 蔑视, 贬损
"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
dissemble,"v. 掩饰, 假装不知道"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
dissolution,"n. 分解, 溶解, 解散, 结束
"
dissonance,"n. 不和谐音, 不一致, 不调和, 刺耳的声音
"
doctrinaire,"n. 空论家, 纯理论家, 教条主义者
a. 空谈理论的, 脱离实际的"
dogmatic,"a. 教条的, 武断的"
ebullient,"a. 沸腾的, 热情的, 热情洋溢的"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
effete,"a. 贫瘠的, 枯竭的, 衰微的"
efficacy,"n. 功效, 效力
"
effrontery,n. 厚颜无耻
elegy,"n. 悲歌, 哀歌, 挽歌"
elicit,"vt. 引出, 推导出, 引起"
embellish,"vt. 修饰, 装饰, 润色"
empirical,"a. 完全跟据经验的, 经验主义的
"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
enervate,"vt. 使衰弱
a. 衰弱的, 无力的"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
equanimity,"n. 平静, 镇定, 沉着"
equivocate,"vi. 说模棱两可的话, 支吾"
erudite,"a. 博学的
n. 博学者"
esoteric,"a. 秘教的, 奥秘的, 秘传的
"
euphemism,"n. 委婉说法, 委婉语"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
exacting,"a. 苛求的, 吃力的"
exculpate,"vt. 使无罪, 开脱
"
execrable,"a. 该咒的, 可憎恨的, 讨厌的"
exigency,"n. 紧急, 急迫, 紧急事件"
existential,a. 有关存在的
extant,"a. 现存的, 未毁的"
extraneous,"a. 外来的, 非必要的, 无关的
"
extrapolation,"n. 推断, 外推法
"
facetious,"a. 滑稽的, 爱开玩笑的"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
fatuous,"a. 发呆的, 愚笨的"
felicitous,"a. 巧妙的, 极为适当的, 善于措辞的, 可喜的"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
foment,"vt. 热敷, 煽动"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
frugality,"n. 节俭, 俭省"
fulminate,"vt. 使爆发, 以严词谴责
vi. 爆炸, 怒喝, 电闪
n. 雷酸盐, 烈性炸药"
gainsay,"vt. 否定, 反驳
n. 否认, 反驳, 反对"
garrulous,"a. 饶舌的, 多嘴的, 喋喋不休的"
grandiloquent,"a. 大言不惭的, 夸张的, 夸大的"
gregarious,"a. 社交的, 群居的"
guileless,"a. 不狡猾的, 诚实的"
gullible,"a. 易受骗的
"
