irrational,"n. 无理数
a. 无理性的, 不合理的"
omnipresent,"a. 无所不在的, 普通存在的"
formulaic,"a. (根据)公式的,用俗套话堆砌成的,刻板的"
displace,"vt. 移置, 替换, 转移"
unattainable,"a. 难到达的, 不可得到的"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
misguided,a. 被误导的
ill-advised,"adj. 鲁莽的
"
evasive,"a. 逃避的, 回避的, 托辞的
"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
intuitive,a. 直觉的
counterintuitive,a. 违反直觉的
uncanny,"a. 怪诞的, 可怕的, 离奇的, 神秘的"
comprehensible,a. 可理解的
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
encyclopedic,"a. 如百科辞典的, 百科全书式的"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
polymathic,a. polymath的变形
solemn,"a. 严肃的, 郑重的, 庄严的"
austere,"a. 严峻的, 禁欲的, 简朴的"
solemnity,"n. 严肃, 一本正经
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
chastise,"vt. 责骂, 惩罚
"
castigate,"vt. 惩罚, 苛评, 修订"
censure,"n. 责难
vt. 非难, 指责"
reprehend,"vt. 申斥, 谴责, 非难"
timid,"a. 胆小的, 羞怯的"
timidity,"n. 胆小, 胆怯, 羞怯"
chauvinistic,"a. 本民族(或本性别)第一主义的, 沙文主义的"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
gradient,"n. 倾斜度, 梯度, 坡度, 斜率
a. 渐升的, 渐降的, 步行的"
clamorous,a. 吵闹的
cerebral,"a. 脑的, 大脑的
"
discriminatory,"a. 有辨识力的, 有差别的"
discriminating,"a. 区别性的, 有识别力的, 有差别的"
indiscriminate,"a. 无差别的, 任意的, 杂乱的
"
explicable,"a. 可说明的, 可解释的"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
preventive,"a. 预防的, 防止的
n. 防止物, 预防方法, 预防药"
ornate,"a. 装饰的, 华丽的"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
decorative,a. 装饰性的
blessing,n. 祝福
precursor,"n. 先驱者, 前导, 前兆
"
settled,"a. 固定的, 决定的, 持续的, 难以消除的
"
assured,"a. 确定的, 自信的
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
backwater,"n. 死水, 滞水, 停滞, 回水"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
lopsided,"a. 倾向一方的, 不平衡的"
homogeneous,"a. 同种的, 同质的, 齐性的
"
homogeneity,"n. 同种, 同质, 齐性
"
de-emphasize,"v. 降低…重要性；不再加以强调
"
downplay,vt. 不予重视
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
stunning,"a. 打昏迷的, 弄得人昏头昏脑的, 令人震惊的"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
crackling,"n. 脆皮, 猪油渣"
undeserved,"a. (赏、罚等)不该受的, 不应得的"
ascribe,"vt. 归因于, 归咎于
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
tenet,"n. 信条, 教义, 宗旨, 原则"
vacillation,"n. 游移不定, 踌躇, 不果断"
irresolution,"n. 无决断, 优柔寡断
"
fluctuation,"n. 变动, 波动, 动摇
"
wavering,"a. 摇摆的, 抖动的, 摇曳的, 犹豫不决的, 动摇的"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
intriguing,"a. 吸引人的, 有趣的"
engaging,"a. 动人的, 迷人的, 有魅力的"
coherence,"n. 黏合(性), 连贯性, 一致性
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
wistful,"a. 渴望的, 想望的"
limitation,"n. 限制, 缺陷, 限额
"
ecosystem,"n. 生态系统
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
shackle,"n. 桎梏, 束缚物
vt. 加枷锁, 束缚"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
envisage,"vt. 面对, 正视, 想象"
empower,"vt. 授予权力, 允许, 使能够
"
snapshot,"n. 快照, 抽点打印
"
palpable,"a. 可感知的, 明显的, 触摸得到的
"
overblown,"a. 停息的, 盛开过的, 浮夸的
overblow的过去分词"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
deprivation,"n. 剥夺, 剥夺官职, 免职
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
in charge,"主管, 看管, 在...看管下"
irresistible,"a. 不可抵抗的, 不能压制的
"
quizzical,"a. 戏弄的, 探询的, 古怪的"
esoteric,"a. 秘教的, 奥秘的, 秘传的
"
impartial,"a. 公平的, 不偏不倚的
"
evenhanded,"a. 公平的, 公平无私的"
detached,"a. 超然的, 分离的, 冷淡的
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
partiality,"n. 偏心, 偏颇, 不公平, 特别喜欢, 癖好
"
condone,"vt. 赦, 宽恕
"
transmogrify,"vt. 使变形, 使变成奇形怪状"
yardstick,"n. 码尺, 计算标准, 准绳
"
dismal,"a. 阴沉的, 凄凉的, 令人忧郁的
n. 低落的情绪, 沼泽"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
restive,"a. 不愿向前走的, 倔强的, 难驾御的"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
capricious,"a. 反复无常的, 多变的, 任性的"
unpredictable,a. 不可预知的
flighty,"a. 轻浮的, 轻狂的, 心情浮动的"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
"
