coda,"n. 尾音, 乐章结尾部, 结尾段"
panacea,"n. 万能药, 灵丹妙药
"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
mania,"n. 狂躁, 热衷, 狂热
"
cornucopia,"n. 丰盛
"
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
sequela,"n. 结果, 后遗症
"
anathema,"n. 令人厌恶的人, 强烈的遣责, 诅咒, 咒逐, 革出教门"
enigma,"n. 谜, 费解的事物"
stigma,"n. 耻辱, 污名, 烙印
"
coma,"n. 昏迷, 麻木, 彗发
"
charisma,"n. 非凡的领导力, 神秘的个人魅力, 神授的能力"
nirvana,n. 天堂
stamina,"n. 精力, 活力, 耐力, 雄蕊
"
patina,"n. 绿锈, 光泽, 古色, 神态, 圣餐盘
"
chimera,"n. 客迈拉(狮头、羊身、蛇尾的吐火女怪), 假想的妖怪, 妄想
"
plethora,"n. 过多, 过剩, 多血症
"
bravura,n. 大胆的尝试；令人赞赏的演唱或演奏技巧
quota,"n. 配额, 限额
"
drab,"a. 土褐色的, 单调的"
ad-lib,没有限制地
glib,"a. 能说善道的, 流畅的"
succumb,"vi. 屈从, 屈服, 死"
plumb,"n. 铅锤, 垂直
a. 垂直的
vt. 使垂直, 探测
vi. 成垂直"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
barb,"n. 倒钩
vt. 装倒钩于"
snub,"n. 冷落, 怠慢, 斥责, 制止
a. 制动用的, 短而扁的
vt. 冷落, 怠慢, 制止, 使...停住, 掐灭"
archaic,"a. 古体的, 过时的, 古老的, 古代的
"
mosaic,"n. 马赛克, 镶嵌细工, 镶嵌工艺
a. 马赛克的, 镶嵌细工的, 拼花的
vt. 用镶嵌细工装饰
"
prosaic,"a. 散文的, 散文体的, 平凡的"
acerbic,"a. 酸的, 尖刻的"
cherubic,"a. 天使的, 无邪的, 可爱的"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
"
encyclopedic,"a. 如百科辞典的, 百科全书式的"
episodic,a. 插曲似的
soporific,"a. 催眠的, 想睡的, 令人麻木不仁的
n. 催眠剂, 安眠药"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
synergic,"a. 协作的, 协同的
"
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
hagiographic,"圣徒传记的
《圣录》的
理想化(或偶像化)的"
monolithic,"a. 独石的, 完全统一的, 整体的
"
diabolic,"a. 恶魔的, 恶毒的, 凶暴的, 恶魔似的, (非正式)非常可憎的"
catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
vitriolic,"a. 硫酸的, 像硫酸的, 语言刻薄的"
panoramic,a. 全景的
pandemic,"a. 大流行的, 普遍的, 全世界的
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
polemic,"a. 争辩的, 好争论的
n. 争论, 辩论, 辩论者"
anemic,"a. 贫血的, 患贫血症的, 无活力的
"
arrhythmic,"a. 无节奏的
"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
anthropogenic,"[医] 人类发生的, 人类起源的"
laconic,"a. 简洁的, 简明的"
histrionic,"a. 演员的, 演剧的, 矫揉造作的
n. 演员, 演剧, 戏剧性"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
tonic,"n. 补药, (音乐)主调音或基音
a. 滋补的, 声调的, 使精神振作的"
embryonic,"a. 萌芽的, 初期的, 未成熟
"
runic,a. 如尼文字的
cynic,"n. 犬儒学派的人, 玩世不恭的人, 愤世嫉俗者, 好挖苦人的人
a. 犬儒学派的"
stoic,"a. 斯多葛派的, 禁欲主义的, 不以苦乐为意的, 坚忍的, 淡泊的
n. 斯多葛派学者, 画廊派的人, 禁欲主义者, 不介意苦乐的人, 高度自制的人"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
philanthropic,"a. 慈善(事业)的, 博爱的, 乐善好施的
"
misanthropic,"a. 厌恶人类的, 不愿与人来往的"
myopic,a. [眼科]近视的；目光短浅的
choleric,"a. 易怒的
"
mesmeric,"a. 催眠术的
"
generic,"a. 属类的, 一般的
"
esoteric,"a. 秘教的, 奥秘的, 秘传的
"
meteoric,"a. 流星的, 疾速的, 大气的"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
panegyric,"n. 赞颂, 颂词, 推崇备至"
lyric,"n. 抒情诗, 歌词
a. 抒情的"
intrinsic,"a. 本质的, 原有的, 真正的
"
dramatic,"a. 戏剧性的, 生动的"
melodramatic,"a. 传奇剧风格的, 戏剧似的, 夸张的"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
phlegmatic,"a. 粘液质的, (正式)平静的, 不动情的, 不动感情的, 冷漠的, 冷淡的, 迟钝的
"
dogmatic,"a. 教条的, 武断的"
axiomatic,a. 自明的
diplomatic,"a. 外交的, 老练的
"
chromatic,"a. 彩色的, 色品的, 易染色的
"
monochromatic,"a. 单色的, 单频的
"
somatic,"a. 身体的, 肉体的, 壁体的
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
traumatic,"a. 外伤的, 创伤的
"
fanatic,"n. 狂热者, 盲信
a. 狂热的, 盲信的"
bureaucratic,"a. 官僚的
"
erratic,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
didactic,"a. 教训的, 说教的, 教导的, 教诲的
"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
