and,"conj. 和, 与
"
are,be的现在时复数或第二人称单数
begin,"v. 开始
"
child,"n. 孩子, 产物, 追随者
"
children,"pl. 孩子, 孩子们"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
English,[网络] 英语
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
goodbye,interj. 再见
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
hello,"interj. 喂, 嘿"
hi,interj. 喂
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
I'm,"na. 'im = him
"
I am,[网络] 我是；这就是我；唯我是问
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
is,"be的现在式第三人称
"
join,"vi. 参加, 结合, 加入
vt. 连接, 结合, 参加, 加入
n. 连接, 结合, 接合点
"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
let's,abbr. let us 让我们
let us,[网络] 让我们；让我们自己；让我们一起
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
listen to,听
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
mime,"n. 哑剧, 小丑, 滑稽戏
v. 摸拟表演
"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
morning,"n. 早晨, 早上, 初期"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
OK,[网络] 确定；好；击
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
the,art. 那
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
tiger,"n. 老虎, 虎, 凶暴的人"
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
what's," （尤当 has 为助动词时, what is 或 what has 的常用口语形式）; 乌"
what is,[计] whatis命令
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
yeah,"adv. (非正式)是, 是的"
you,"pron. 你, 你们"
your,"pron. 你的, 你们的"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
apple,"n. 苹果, 家伙
"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
bye-bye,"睡觉,床铺,再见"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
me,pron. 我
my,"pron. 我的
"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
skateboard,n. 溜冰板
this,"pron. 这, 本
a. 这, 本
adv. 这么"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
