alphabet,"n. 字母
"
enjoy,"vt. 享受, 喜欢, 欣赏
"
everyone,"pron. 每个人, 人人
"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
hey,interj. 嗨
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
notebook,"n. 笔记本, 手册, 期票簿"
ping-pong,苹婆
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
shake hands, 握手; 搹
until,"prep. 直到, 在...以前
conj. 直到...时, 在...以前"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
CD-ROM,光盘只读存储器；只读型光盘
do shopping,无
Easter,n. 复活节
Easter Bunny,（复活节人们用作礼物或装饰品的）复活节兔子；令人仰慕的人
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
mobile phone, 移动电话
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
over there,在那边
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
phone box,n. <英>电话亭
phone call,n. 电话
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
see you tomorrow,明天见
something,"pron. 某事, 某物"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
storybook,"n. 故事书, 小说"
wait a moment,[网络] 等一下；等一会儿；稍等一下
website,n. 网站（全球资讯网的主机站）
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
Arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
come to a stop,停止
early,"a. 早的, 早熟的
adv. 很早, 初"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
fishing,"n. 钓鱼, 鱼业
a. 钓鱼的"
go fishing,去钓鱼
grandad,"n. 爷爷, 老太爷, 外公"
grandma,"n. 奶奶, 外婆"
grandpa,"爷爷, 老太爷, 外公"
hare,"n. 野兔
vi. 飞跑"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
North Pole,"北极
"
polar bear,北极熊
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
shopping mall,n. 大型购物中心
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
South Pole,"南极
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
detective,"n. 侦探
a. 侦探的"
different,"a. 不同的
"
interesting,a. 有趣的
Kung Fu Panda,无
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
science fiction," 科幻, 科学幻想小说; 科幻小说"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
television,"n. 电视
"
telly,n. 电视
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
usually,"adv. 通常, 大抵"
want,"n. 需要的东西, 缺乏, 贫困, 需要
vt. 要, 希望, 应该, 缺少
vi. 生活困苦, 需要, 缺少"
while,"n. 一会儿, (一段)时间
conj. 当...的时候, 虽然
vt. 消磨"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
beside,prep. 在旁边
bus stop,公共汽车站
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
excuse me,对不起
hospital,"n. 医院
"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
museum,n. 博物馆
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
next to,几乎
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
police station,"警察分局
"
post office,"邮局
"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
side,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
tourist office, 游客咨询处
town,"n. 城镇, 市, 镇
"
train station,n. 火车站
baby,"n. 婴孩
"
badly,"adv. 严重地, 恶劣地, 极度地"
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
boat,"n. 船
vi. 乘船
vt. 以船运"
call,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求
vt. 呼叫, 召集, 打电话
vi. 叫喊, 访问, 叫牌
"
Children's Day,"n. 儿童节(基督教会浸礼的节日,通常在六月的第二个星期日)"
city,"n. 城市, 市
"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
come along,v. 出现；一起来；陪伴；进步
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
jet-ski,喷气式滑雪板或滑橇
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
snorkel,n. 通气管
snorkelling,v. 使用水下呼吸管潜游( snorkel的现在分词 )
starfish,n. 海星
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
too,"adv. 也, 非常, 太"
tourist,"n. 观光客, 旅行者
a. 旅游的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
adventure,"n. 冒险, 冒险经历
v. 冒险"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
ago,adv. 以前
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
bank,"n. 银行, 堤, 岸
"
be afraid of,害怕
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
born to,"生来就享有…,注定就享有…"
cactus,"n. 仙人掌
"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
cowboy hat,"n. 牛仔帽, 宽边高呢帽"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
good at, 擅长…
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
Hands up!,举起手来
hero,"n. 英雄, 超越常人者, 男主角"
horror film,恐怖影片
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
robber,"n. 强盗, 盗贼"
sheriff,"n. 郡治安官, 县治安官
"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
swimmer,n. 游泳者
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
build,"v. 建立, 建筑
n. 构造, 体格"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
childish,"a. 天真的, 孩子气的"
daughter,"n. 女儿
a. 女儿的"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
quite a lot, 好些
Really?,[网络] 再结盟
sand castle,[网络] 沙堡；关岛沙堡夜总会；沙堡秀
