blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
cowboy,"n. 牛仔, 牛郎, 牧童"
for now,"现在,此时,眼下,暂时"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
pm,"出纳员, 军需官
"
pony,"n. 矮种马
v. 借助逐字直译文翻译
a. 小型的, 每日摘要的"
really,"adv. 实际上, 真实地, 实在"
spacecraft,n. 航天飞船
supersonic,"a. 超声波的
"
auntie,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
Australia Day,澳大利亚日；澳洲国庆日
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
baby,"n. 婴孩
"
Canberra,n. 堪培拉
climb,"v. 攀登, 上升, 爬
n. 攀登, 爬升"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
koala,n. 袋熊
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
sixth,"num. 第六, 六分之一"
Spring Festival,n. 春节（中国农历正月初一）
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
celery,"n. 芹菜
"
cherry,"n. 樱桃, 樱桃树, 樱桃色
"
corn-on-the-cob,"n. (煮食的)老玉米,玉米棒子"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
healthy,"a. 健康的, 有益健康的, 卫生的
"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
look after,"目送, 照顾, 关心"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
not ... at all,一点也不
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
plenty of,许多的
protein,"n. 蛋白质
a. 蛋白质的"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
string bean,"n. 青豆, 菜豆"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
whole grains,"(wholegrain 的复数) adj. 全粒的, 全米的"
diary,"n. 日记
"
difficult,a. 困难的
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
gentleman,"n. 绅士, 先生"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
lady,"n. 淑女, 夫人, 女士, 贵妇"
rope,"n. 绳, 索, 粗绳, 绞索, 决窍
vt. 捆, 缚, 绑, 圈起, 以绳将...系住
vi. 拧成绳状"
saying,"n. 叙述, 话, 说, 言论"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
strawberry,n. 草莓
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
vanilla,"n. 香草, 香子兰"
almost,"adv. 几乎, 差不多"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
college,"n. 学院, 大学, 学会"
confident,"a. 有信心的, 有把握的"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
deer,n. 鹿
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
everything,"pron. 每件事物, 所有事物"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
footballer,"n. 足球员, 足球选手"
forest,"n. 森林, 林区
vt. 植树于"
