abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abduct,"vt. 诱拐, 绑架, 使外展
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
accelerate,"v. 加速, 促进"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accomplice,"n. 共犯, 同谋
"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountant,"n. 会计人员, 会计师
"
accumulate,"v. 积聚, 堆积"
accurate,"a. 正确的, 精确的
"
activism,"n. 激进主义, 行动主义, 能动论
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
adjacent,"a. 毗连的, 邻近的, 连接的
"
administration,"n. 行政, 管理, 政府机关
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
advertisement,"n. 广告, 启事, 广告宣传
"
aerospace,"n. 航天空间, 航天技术"
affidavit,"n. 宣誓书, 书面陈述
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
affordable,[计] 普及型
aftershock,n. 余震
agent,"n. 代理商, 政府代表, 动原, 媒介
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
agony column,私事广告栏
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
allege,"vt. 宣称, 主张, 提出, 断言
"
allergy,"n. 变应性, 反感, 厌恶
"
alliance,"n. 联盟, 联合
"
allocation,"n. 配置, 分配, 拨给
"
alter,v. 改变
amateur,"n. 业余爱好者, 外行, 爱好者
"
ambulance,"n. 救护车
"
amount,"n. 总数, 总额
vi. 总计, 等同"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
annoy,"vt. 使恼怒, 骚扰"
antibiotic,"n. 抗生素
a. 抗生的"
antitrust,"a. 反托拉斯的
"
apologetic,"a. 道歉的, 急于认错的, 辩护的
"
apology,"n. 道歉, 辩护
"
apparel,"n. 衣服, 外表
vt. 使穿衣, 装饰"
application,"n. 应用, 申请, 志愿书, 应用程序
"
appraise,"vt. 评价, 估价
"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
arraignment,"n. 提讯, 传讯, 责难
"
arson,"n. 纵火, 纵火罪
"
artificial,"a. 人造的, 假的, 非原地产的
"
assailant,"n. 攻击者
"
assassinate,"vt. 暗杀, 行刺
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assert,"vt. 主张, 坚称, 断言
"
asset,"n. 资产, 有益的东西"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
asthma,"n. 哮喘
"
astronomer,n. 天文学家
atomic,"a. 原子的, 原子能的
"
attain,"vt. 达到, 获得
vi. 达到"
