moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
mountain,"n. 山, 山脉, 大堆"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
passenger,"n. 乘客, 旅客
"
restaurant,"n. 餐馆, 饭店"
victory,"n. 胜利, 战胜, 克服"
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
insect,"n. 昆虫, 卑鄙的人
"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
necklace,n. 项链
feather,"n. 羽毛
vi. 长羽毛
vt. 用羽毛装饰"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
eve,"n. 前夕, 前夜"
dumpling,"n. 面团布丁, 团子"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
dinner,"n. 晚餐, 正餐, 宴会"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
thousand,"num. 千
a. 成千的, 许多的
n. 许许多多"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
weekend,"n. 周末, 周末休假"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
diary,"n. 日记
"
error,"n. 错误, 过失, 失误, 误差
"
eyesight,"n. 视力, 目力"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
road,"n. 路, 道路, 公路, 途径, 方法
"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
elephant,n. 象
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
yesterday,"n. 昨天
adv. 昨天"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约
"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
city,"n. 城市, 市
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
customer,"n. 消费者
"
decision,"n. 决定, 决心, 决断
"
discussion,n. 讨论
government,"n. 政府, 内阁
"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
manager,"n. 经理, 管理员, 管理器
"
nation,"n. 国家, 民族
"
population,"n. 人口, 人口数
"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
building,"n. 建筑物, 建筑
"
guest,"n. 客人, 来宾, 旅客
"
army,"n. 军队, 陆军"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
truck,"n. 卡车, 货车, 对...进行交易, 来往, 实物工资, (供应市场的)蔬菜, 废物, 废话
vt. 对...进行交易, 交往, 以卡车运输
vi. 驾驶卡车, 以物易物"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
hospital,"n. 医院
"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
metal,"n. 金属, 金属制品, 合金, 本质, 质料
a. 金属制的
vt. 以金属覆盖"
dentist,"n. 牙科医生
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
death,"n. 死亡
"
brain,"n. 脑
vt. 打碎脑部"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
direction,"n. 方向, 指导, 趋势
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
technology,"n. 技术, 工业技术, 术语
"
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
Internet,[网络] 互联网；因特网；网际网路
television,"n. 电视
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
temperature,"n. 温度, 发烧, 热度
"
pollution,"n. 污染, 玷污
"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
truth,"n. 事实, 实情
"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
Asian,"n. 亚洲人
a. 亚洲的, 亚洲人的"
airport,"n. 飞机场
"
Europe,n. 欧洲
America,"n. 美洲, 美国"
Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
museum,n. 博物馆
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
holiday,"n. 假日, 假期, 节日
vi. 度假"
century,"n. 世纪, 百年"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
painting,"n. 画, 绘画, 油漆
"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
drawing,"n. 图画, 制图, 拉
"
Christmas,[网络] 圣诞；基督的弥撒
palace,"n. 宫, 宫殿, 华丽大厦"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
village,"n. 村庄
a. 乡村的, 村庄的"
birthday,n. 生日
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
knowledge,"n. 知识, 学问, 认识, 知道"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
training,"n. 训练, 培养
"
headmaster,"n. (中小学)校长, 监工"
language,"n. 语言, 文字, 措辞
"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
lesson,"n. 课, 课业, 教训"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
competition,"n. 竞争, 竞赛
"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
exam,"n. 考试, 测验"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
classroom,n. 教室
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
member,"n. 成员, 会员
"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
"
parent,"n. 父母, 父母亲, 根源
"
teenager,n. 十三岁到十九岁的少年
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
ourselves,pron. 我们自己
apology,"n. 道歉, 辩护
"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
something,"pron. 某事, 某物"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
anyone,pron. 任何人
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
