apocryphal,"a. 伪的, 不足凭信的"
arcane,"a. 神秘的, 晦涩难解的"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
expedient,"n. 权宜之计
a. 权宜的, 方便的, 有用的"
exude,"v. (使)流出, (使)渗出"
gesticulate,"v. 用手势谈话, 用姿势表达"
imperturbable,"a. 沉着的, 泰然自若的, 镇静的"
increment,"n. 增加, 增值, 盈余
"
levity,"n. 轻率, 轻浮, 不稳定"
mortify,"vt. 抑制, 苦修, 使受辱
vi. 禁欲, 苦修"
periphery,"n. 外围, 边缘地区, 圆周
"
raconteur,"n. 说书者, 擅长讲故事的人, 健谈者"
reiterate,"vt. 反复地说, 重申, 反复地做
"
subterfuge,"n. 遁辞, 借口, 托辞
"
vacillate,"vi. 游移不定, 踌躇, 犹豫, 摇摆"
accoutrements,"n. 军人的配备, 服装"
aggrieved,"a. 受委屈的, 权利受到不法侵害的"
choleric,"a. 易怒的
"
comport,"vt. 举动, 表现
vi. 相称, 适合"
disconcert,"vt. 使困惑, 使仓皇失措, 打乱(计划等)"
fauna,"n. 动物群
"
interpose,"vt. 使插入, 使介于二者间, 使干涉
vi. 插嘴, 干预"
maraud,"v. 劫掠, 掠夺, 袭击
n. 劫掠, 掠夺, 袭击"
modicum,n. 少量
opulent,"a. 富裕的, 豪华的, 奢侈的, 丰富的, 大量的"
patrician,"n. 贵族, 有教养的人
a. 贵族的, 显贵的"
phlegmatic,"a. 粘液质的, (正式)平静的, 不动情的, 不动感情的, 冷漠的, 冷淡的, 迟钝的
"
propensity,"n. 倾向, 爱好, 习性"
therapeutic,"a. 治疗的, 有益于健康的
"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
atrophy,"n. 萎缩, 萎缩症
"
efficacy,"n. 功效, 效力
"
emolument,"n. 薪水, 报酬"
icon,"n. 画像, 肖像, 偶像, 图标, 像标
"
incipient,"a. 起初的, 发端的, 初期的
"
inculcate,"vt. 反复灌输, 谆谆教诲"
inestimable,"a. 无价的, 无法估计的"
lackluster,"a. 没有光泽的, 无生气的, 平凡的
n. 无光泽, 无生气, 暗淡"
martinet,n. 严格执行纪律的人
prodigious,"a. 庞大的, 惊人的, 异常的"
