accustom,vt. 使习惯于
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
assign,"vt. 分配, 指派, 赋值
"
budge,"vi. 微微移动
vt. 推动
n. 羔羊皮"
burly,"a. 结实的, 粗壮的, 率直的"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
compatible,"a. 能共处的, 可并立的, 适合的
"
concept,"n. 观念, 概念
"
distract,"vt. 转移, 分心, 使发狂"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
obedient,"a. 服从的, 顺从的, 孝顺的
"
obstacle,"n. 障碍, 妨害物, 阻碍"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
aroma,"n. 浓香, 香气
"
beverage,"n. 饮料
"
bland,"a. 温和的, 乏味的, 冷漠的
"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
crave,"v. 渴望, 热望, 恳求"
cultivate,"vt. 培养, 耕作"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
tropical,"a. 热带的, 热情的
"
ancestor,"n. 祖先, 祖宗"
carnivore,"n. 食肉动物
"
comprehend,"vt. 理解, 包括"
duration,"n. 持续时间, 持续
"
evident,"a. 显然的, 明显的"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
gigantic,"a. 巨人般的, 巨大的"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
option,"n. 选择权, 挑选, 选项
"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
puny,"a. 微小的, 弱小的, 微不足道的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
accurate,"a. 正确的, 精确的
"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
despair,"n. 绝望, 失望
vi. 绝望"
destination,"n. 目的地, 目标, 目的
"
deteriorate,v. (使)恶化
gale,"n. 狂风, 大风, 定期租金
"
horizon,"n. 地平线, 眼界, (天)视地平"
jubilation,"n. 欢呼, 喜欢, 庆祝"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
blizzard,"n. 大风雪, 暴风雪"
