abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
ability,"n. 能力, 才干
"
able,"a. 能干的, 能够的"
abolish,"vt. 废止, 革除, 消灭
"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absence,"n. 缺席, 缺乏, 没有
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abundant,"a. 丰富的, 充分的, 大量的"
plentiful,"a. 许多的, 丰富的, 丰饶的"
ample,"a. 大量的, 充足的, 丰富的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
acceptable,"a. 可接受的, 合意的, 可忍受的"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
occurrence,"n. 发生, 事件, 出现
"
happening,"n. 事件, 意外发生的事"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accomplish,"vt. 完成, 达到, 实现, 使完美"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
accumulate,"v. 积聚, 堆积"
accurate,"a. 正确的, 精确的
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
precise,"a. 精确的, 严谨的, 明确的
"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
accustom,vt. 使习惯于
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
attain,"vt. 达到, 获得
vi. 达到"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
arrive,"vi. 到达, 抵达"
achievement,"n. 完成, 成就, 功业"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquaint,"vt. 使认识, 介绍"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
notify,"vt. 通知, 通告, 报告
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
acquaintance,"n. 认识, 相识者"
acquire,"vt. 获得, 学到
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
earn,"vt. 赚得, 获得, 博得
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
acquisition,"n. 获得, 获得物
"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
along,"adv. 平行地, 向前
prep. 沿着"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
actor,"n. 男演员, 行动者
"
actress,n. 女演员
actual,"a. 真实的, 实际的, 现行的
"
actually,"adv. 事实上, 竟然, 如今, 现在"
indeed,"adv. 的确, 实在, 真正地, 甚至"
really,"adv. 实际上, 真实地, 实在"
truly,"adv. 真实地, 不假"
adapt,"vt. 使适应, 改编
vi. 适应"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
adequate,"a. 适当的, 足够的
"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
sufficient,"a. 充分的, 足够的
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
administration,"n. 行政, 管理, 政府机关
"
administrative,"a. 管理的, 行政的
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
move on,继续前进
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
adventure,"n. 冒险, 冒险经历
v. 冒险"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advertisement,"n. 广告, 启事, 广告宣传
"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
opinion,"n. 意见, 评价, 主张
"
proposal,"n. 提议, 计划, 求婚
"
suggestion,"n. 提议, 意见
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
advisable,"a. 适当的, 明智的"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
adviser,"n. 顾问, 劝告者, 指导教师
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
attorney,"n. 代理人, 律师
"
lawyer,"n. 律师
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
affair,"n. 事件, 事务, 恋爱事件"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
