book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
schoolbag,n. 书包
teacher,"n. 教师, 老师, 导师"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
a,"第一个字母 A; 一个; 第一的
art. "
an,art. 一
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
this,"pron. 这, 本
a. 这, 本
adv. 这么"
is,"be的现在式第三人称
"
my,"pron. 我的
"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
tiger,"n. 老虎, 虎, 凶暴的人"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
it,"pron. 它
"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
three,"num. 三, 三个"
four,"num. 四, 四个
"
five,"num. 五, 五个"
six,"num. 六, 六个"
seven,"num. 七, 七个"
eight,"num. 八, 八个"
nine,"num. 九, 九个"
ten,"num. 十, 十个"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
are,be的现在时复数或第二人称单数
there,adv. 在那里
black,"n. 黑色, 黑颜料
a. 黑色的"
yellow,"n. 黄色
a. 黄色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
colour,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
apple,"n. 苹果, 家伙
"
pear,"n. 梨子, 梨树, 梨木
"
banana,n. 香蕉
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
do,"v. 做, 进行, 完成"
you,"pron. 你, 你们"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
yes,"adv. 是
n. 是, 同意
v. 同意"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
