Chinese,"n. 中文, 中国话, 中国人
a. 中国的, 中国话的"
English,[网络] 英语
science,"n. 科学, 学科, 学问, 自然科学
"
PE,"n. 体育（课）（全写为 physical education）
"
music,"n. 音乐, 乐曲"
maths,n. 数学
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
computer class,电脑课
we,pron. 我们
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
classroom,n. 教室
library,"n. 图书馆, 藏书, 库
"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
third,"num. 第三, 三分之一
"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
room,"n. 房间, 空位, 场所
vi. 住宿, 居住
vt. 留宿"
our,pron. 我们的
they,"pron. 他们, 它们"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
desk,"n. 书桌, 办公桌, 工作台"
blackboard,n. 黑板
after school,放学后
play sports, 参加体育运动或比赛
draw pictures, 画画，画图; 画图画
play chess,下棋
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
sing songs,n. 歌咏
read books,[网络] 读书；看书；阅读
really,"adv. 实际上, 真实地, 实在"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
be back, 回来，放回; 拖欠
play football,踢足球;对难办的事采取踢足球的态度
fly a kite,"放风筝, 试探舆论, 开空头支票
"
ride a bike, 骑自行车
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
make a model plane,无
make a snowman, 堆雪人
family,"n. 家庭, 家人, 族
a. 家庭的"
uncle,"n. 叔父, 伯父, 姨丈"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
handsome,"a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的"
beautiful,a. 美丽的
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
water bottle,水瓶
know,"v. 知道, 了解, 认识, 确信"
ok,"a. 好, 不错, 可以
adv. 好, 不错, 可以
n. 批准, 认可
"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
grandfather,"n. 祖父, 始祖
"
grandmother,"n. 祖母, 女祖先"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
brother,n. 兄弟
sister,"n. 姐妹, 姐, 妹, 护士, 修女
vt. 姐妹般对待"
cooking dinner,[网络] 做饭；做晚餐；正在做饭
walking the dog,无
watering the plants,无
cleaning the room,无
listening to music,无
watching TV, 看电视
feeding the fish,"喂鱼
晕船"
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
in one hour,无
everyone,"pron. 每个人, 人人
"
children,"pl. 孩子, 孩子们"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
home,"n. 家, 避难所, 故乡
a. 家庭的, 国内的, 打中目标的
adv. 在家, 在本国, 打中目标地
"
bedroom,n. 卧室
living room,"客厅, 起居室"
bathroom,"n. 浴室, 厕所"
dining room,饭厅
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
kitchen,"n. 厨房, 全套炊具
"
for rent,"供出租
"
sofa,n. 沙发
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
door,n. 门
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
