play football,踢足球;对难办的事采取踢足球的态度
fly a kite,"放风筝, 试探舆论, 开空头支票
"
ride a bike, 骑自行车
make a model plane,无
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
make a snowman, 堆雪人
can't,[网络] 不能
rainy,"a. 下雨的, 多雨的"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
snowy,"a. 多雪的, 雪的, 被雪所覆盖着的, 下雪的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
let's,abbr. let us 让我们
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
autumn,"n. 秋天, 成熟期"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
season,"n. 季节, 时节, 当令期, 时期
vt. 给...调味, 使成熟, 使老练, 缓和
vi. 变干燥"
eleven,"num. 十一, 十一个"
twelve,"num. 十二, 十二个"
twenty,"num. 二十, 二十个"
thirty,"num. 三十, 三十个"
forty,"num. 四十, 四十个"
fifty,"num. 五十, 五十个"
thirteen,"num. 十三, 十三个"
fourteen,"num. 十四, 十四个"
fifteen,"num. 十五, 十五个"
time,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间
vt. 测定...的时间, 记录...的时间, 计时, 定时
a. 时间的, 记时的, 定时的, 定期的, 分期的
"
playtime,"n. 游戏时间, 娱乐时间, 演出时间, 开幕时刻"
get up,"na. 起床；起身；站起来；叫…起床
"
eat breakfast,[网络] 吃早饭；吃早餐；食早餐
go to school,上学
eat lunch,[网络] 吃午饭；吃午餐；吃中午饭
go home,回家
eat dinner, 吃晚饭
go to bed,"上床, 睡觉"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
every day, 每天; 日; 天天; 逐日
at,"prep. 在, 向, 对
"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
today,"n. 今天, 当今, 现在
adv. 今天, 当今"
