running,"n. 赛跑, 流出, 运转
a. 流动的, 跑着的, 连续的"
basketball,n. 篮球
roller skating, 滑旱冰
jumping rope,[网络] 跳绳；正在跳绳；跳跳绳
ping-pong,苹婆
What about ...?,adv. 怎么样，以为如何（提出建议或用以引出话题）
interesting,a. 有趣的
often,"adv. 时常, 常常"
be good at,擅长
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
friend,"n. 朋友, 支持者, 赞助者
"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
get up,"na. 起床；起身；站起来；叫…起床
"
visit one's grandparents,无
go to a drawing club,无
climb a hill,无
pick fruit,无
play computer games,[网络] 玩电脑游戏；打电脑游戏；玩电子游戏
go fishing,去钓鱼
go to the cinema, 去电影院
on the weekend,周末
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
always,"adv. 总是, 始终"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
evening,"n. 傍晚, 晚间, 末期"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
their,pron. 他们的
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
Saturday,n. 星期六
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
day,"n. 天, 日子, 白天, 工作日
"
usually,"adv. 通常, 大抵"
by bus,乘公共汽车
by boat,乘船
by ship,乘船
