ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
eraser,n. 擦子
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil box, 铅笔盒
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
your,"pron. 你的, 你们的"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
yellow,"n. 黄色
a. 黄色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
black,"n. 黑色, 黑颜料
a. 黑色的"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
OK,[网络] 确定；好；击
mum,"n. 菊花, 沉默
a. 沉默的
vi. 演哑剧
interj. 别说话"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
leg,"n. 腿, 假腿, 路程
vi. 走, 跑"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
cat,"n. 猫, 恶妇
vi. 呕吐
计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
elephant,n. 象
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
tiger,"n. 老虎, 虎, 凶暴的人"
panda,"n. 大熊猫, 小熊猫"
zoo,n. 动物园
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
three,"num. 三, 三个"
four,"num. 四, 四个
"
five,"num. 五, 五个"
six,"num. 六, 六个"
seven,"num. 七, 七个"
eight,"num. 八, 八个"
nine,"num. 九, 九个"
ten,"num. 十, 十个"
brother,n. 兄弟
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
