do morning exercises, 做早操; 晨练
eat breakfast,[网络] 吃早饭；吃早餐；食早餐
eat breakfast,[网络] 吃早饭；吃早餐；食早餐
have ... class,[网络] 上课；指上课；该上课了
have English class,无
play sports, 参加体育运动或比赛
play sports, 参加体育运动或比赛
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
eat dinner, 吃晚饭
do morning exercises, 做早操; 晨练
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
eat dinner, 吃晚饭
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
clean my room,无
policeman,"n. 警察
"
go for a walk,散步
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
go shopping,去买东西
evening,"n. 傍晚, 晚间, 末期"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
get up,"na. 起床；起身；站起来；叫…起床
"
dancing,"n. 舞蹈
"
at,"prep. 在, 向, 对
"
take a dancing class,无
usually,"adv. 通常, 大抵"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
noon,"n. 正午, 中午, 全盛期"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
climb mountains,v. 爬山
usually,"adv. 通常, 大抵"
go shopping,去买东西
Spain,n. 西班牙
play the piano, 弹钢琴
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
visit grandparents,无
a.m.,"abbr. 调幅；振幅调制；议员（威尔士议会成员）
"
go hiking, 远足
p.m.,"abbr. (=prime minister)总理；首相；午后
n. 总理（全写为 prime minister）
"
weekend,"n. 周末, 周末休假"
why,"adv. 为什么
n. 原因, 理由"
often,"adv. 时常, 常常"
shop,"n. 商店, 工厂, 车间
vi. 购物, 到处寻找
vt. 选购"
sometimes,"adv. 有时, 时常, 往往"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
also,"adv. 也, 并且, 同样地"
