taller,a. 高的( tall的比较级 ); 难以置信的; 难以完成的; （用以表示或询问高度）有...高
younger,"n. 年纪较小者
a. 较年轻的"
shorter,a. 较短的；更短的；更矮的（short的比较级）
older,a. 年长的；较旧的
stronger,[经] 强劲的
taller,a. 高的( tall的比较级 ); 难以置信的; 难以完成的; （用以表示或询问高度）有...高
older,a. 年长的；较旧的
shorter,a. 较短的；更短的；更矮的（short的比较级）
younger,"n. 年纪较小者
a. 较年轻的"
longer,adv. 比较久
cm,
thinner,"n. 稀释剂
"
than,"conj. 比, 除...外
prep. 比"
heavier,a. 巨大的；沉重的
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
bigger,a. 更大的（big的比较级）
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
smaller,"a. 较小, 更小的"
think,"vt. 想, 考虑, 想起, 想像, 打算, 认为
vi. 思考, 料想
n. 想法
a. 思想的"
stronger,[经] 强劲的
funnier,"滑稽的
有趣的（ funny的比较级 ）"
dinosaur,n. 恐龙
kg,"n. 千克, 公斤
"
hall,"n. 门厅, 走廊, 会堂"
bigger,a. 更大的（big的比较级）
metre,"n. 公尺, 格律, 韵律
"
heavier,a. 巨大的；沉重的
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
longer,adv. 比较久
than,"conj. 比, 除...外
prep. 比"
thinner,"n. 稀释剂
"
both,"a. 两者的
adv. 两者都
pron. 两者"
smaller,"a. 较小, 更小的"
kilogram,"n. 千克, 公斤
"
feet,"pl. 脚
n. 尺"
countryside,"n. 乡下地方, 乡下居民"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
smarter,a. 聪明的；精明的（smart的比较级）
ton,"n. 吨
"
become,"vi. 变成, 变得
vt. 适合"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
cleaned,v. （使）清洁( clean的过去式和过去分词 ); 变干净; 除去…的灰尘; 使…干净
squid,"n. 枪乌贼, 鱿鱼, 反潜水雷发射装置
"
stayed,"v. 停留, 制止（stay的过去分词形式）"
lobster,n. 龙虾
washed,a. 洗过的
shark,"n. 鲨鱼, 骗子
v. 诈骗"
watched,"vt. 注视, 注意（watch的过去式与过去分词形式）"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
had,have的过去式和过去分词
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
had a cold,无
sperm whale,抹香鲸
slept,sleep的过去式和过去分词
killer whale,"n. [动]逆戟鲸,虎鲸"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
saw,"n. 锯子, 谚语
vt. 锯, 锯开, 来回移动
vi. 拉锯, 移动
see的过去式"
have a fever, 发烧
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
yesterday,"n. 昨天
adv. 昨天"
have a cold,患感冒
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
have a toothache, 牙疼
drank,drink的过去式
have a headache, 头疼，头痛
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
have a sore throat,"嗓子痛,喉痛"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
better,"a. 较好的
adv. 比较好"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
faster,[计] 加快
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
hotel,"n. 旅馆, 客栈"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
fixed,"a. 固定的, 不变的
"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
broken,"a. 坏掉的, 打破的, 断掉的
break的过去分词"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
lamp,"n. 灯
vt. 照亮
"
flu,"n. 流感, 流行性感冒"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
know,"v. 知道, 了解, 认识, 确信"
enjoy,"vt. 享受, 喜欢, 欣赏
"
might,"n. 力量, 权力
aux. 可能, 也许"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
went,go的过去式
medicine,"n. 药, 医学, 内科
vt. 给...用药"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
went camping,无
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
better,"a. 较好的
adv. 比较好"
went fishing,无
soon,"adv. 不久, 早, 快, 宁可"
rode,ride的过去式
tired,"a. 疲累的, 疲乏的, 厌倦的"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
ate,"eat的过去式
"
angry,"a. 生气的, 愤怒的"
took,take的过去式
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
took pictures,无
bored,a. 无聊的；烦人的；无趣的
bought,"a. 买来的
buy的过去式和过去分词"
sad,"a. 忧愁的, 悲哀的"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
fell,"vt. 击倒
n. 一季所伐的木材, 折缝
a. 凶猛的, 可怕的
fall的过去式"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
"
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
Labour Day,[经] 劳动节
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
mule,"n. 骡, 倔强之人"
