flashcard,n. 教学用的抽认卡
vocabulary,"n. 词汇(量), 词汇表
"
aloud,"adv. 出声地, 大声地"
pronunciation,"n. 发音, 读法"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
memorize,"vt. 记住, 熟记, 背熟"
grammar,"n. 语法学, 入门书
"
differently,"adv. 差异, 不同, 各别, 各种"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
frustrating,a. 令人沮丧的
quickly,adv. 很快地
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
pronounce,"v. 发音, 宣告, 断言"
spoken,"a. 口头讲的, 口语的
speak的过去分词"
slowly,"adv. 慢慢地, 迟缓地"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
make mistakes,犯错误
comma,"n. 逗点, 逗号"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
solution,"n. 解决, 解答, 溶液
"
later on,稍后
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
it doesn't matter,"un. 在…问题上；没关系
"
afraid,"a. 害怕的, 恐怕的, 遗憾的"
be afraid to,害怕
laugh at,"嘲笑, 漠视, 因...发笑"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
learner,"n. 学习者, 初学者"
take notes,作笔记
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
look up,"v. 查找；查阅；探望；看望
"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
make up,"na. 弥补；起草；定；签订
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
deal with,"安排, 处理, 涉及, 做生意"
unless,"conj. 除非
prep. 除...之外"
unfair,"a. 不公平的, 不正直的, 不正当的
"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
duty,"n. 责任, 关税, 职务, 尊敬
"
easily,"adv. 容易地, 轻易地, 流利地"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
be angry with,对(某人)生气
go by,"走过, 依照, 顺便走访"
friendship,"n. 友谊, 友爱, 友善"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
disagreement,"n. 不合, 争论, 不一致
"
development,"n. 发展
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
try one's best,尽力
unimportant,a. 不重要的
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
break off,"v. 断绝；摘；把…折断；使脱落
"
psychologist,"n. 心理学家
"
Pierre,n. 皮埃尔（男子名）
Antonio,n. 安东尼奥（男名）
Lillian,"n. 莉莲（女子名, 等于Lilian）"
Stephen Hawking,[网络] 霍金；物理学家霍金；史蒂芬霍金
used to,"过去经常(做)..., 过去有规律地发生"
airplane,"n. 飞机
"
terrify,"vt. 使恐惧, 恐吓"
be terrified of,对...感到惊恐
go to sleep,"入睡, 睡着"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
insect,"n. 昆虫, 卑鄙的人
"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
chat,"n. 闲谈
vi. 闲谈, 聊天"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
death,"n. 死亡
"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
himself,"pron. 他自己, 他亲自"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
in the end,"最后, 终于"
make a decision,作决定
head teacher,n. 校长; 班主任
to one's surprise,使某人惊奇的是
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
even though,"虽然, 尽管"
no longer,不再
take pride in,以...为傲
attention,"n. 注意, 注意力
"
pay attention to,注意
give up,"na. 放弃；断绝；投降；自首
"
waste,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
Murray,n. 默里（男子名）；墨累河（澳大利亚东南部一条河流）
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
silly,"a. 愚蠢的, 糊涂的"
earring,"n. 耳环, 耳饰"
instead of,代替
stay up,不睡觉
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentrate on,"集中, 全神贯注于"
study,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
at present,"现在, 目前"
opportunity,"n. 机会, 时机"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
member,"n. 成员, 会员
"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
old people's home,养老院
sleepy,"a. 困乏的, 欲睡的"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
newsletter,"n. 时事通讯, 业务通讯, 时事传报
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
