textbook,n. 教科书
conversation,"n. 会话, 说话, 交谈
"
aloud,"adv. 出声地, 大声地"
pronunciation,"n. 发音, 读法"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
expression,"n. 表达, 表现, 词语, 措辞
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
look up,"v. 查找；查阅；探望；看望
"
grammar,"n. 语法学, 入门书
"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
pal,"n. 朋友, 伙伴, 同志, 同谋
vi. 交友, 结伴"
physics,"n. 物理学, 物理过程, 物理现象
"
chemistry,"n. 化学, 化学过程
"
memorize,"vt. 记住, 熟记, 背熟"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
pronounce,"v. 发音, 宣告, 断言"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
born,"a. 天生的
bear的过去分词"
be born with,"生来就有…,有…天赋"
ability,"n. 能力, 才干
"
create,"vt. 创造, 建造, 引起, 任命"
brain,"n. 脑
vt. 打碎脑部"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
attention,"n. 注意, 注意力
"
pay attention to,注意
connect,"v. 连接, 联合, 联系"
connect ... with,"连接, 联络"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
knowledge,"n. 知识, 学问, 认识, 知道"
lifelong,"a. 终身的, 毕生的"
wisely,"adv. 聪明地, 精明地"
Annie,n. 安妮（女子名）
Alexander Graham Bell,n. 亚历山大·格雷厄姆·贝尔（电话发明者）
mooncake,n. 月饼
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
stranger,"n. 陌生人, 门外汉
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
put on,"na. 假话
"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
goddess,"n. 女神, 美女, 受崇拜的女性"
whoever,"pron. 任何人, 无论谁"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
lay out,"n. 布局；设计；规划；安排
"
