anyone,pron. 任何人
anywhere,adv. 无论何处
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
few,"a. 很少的, 不多的, 少数的
n. 少数"
quite a few,相当多的
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
something,"pron. 某事, 某物"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
everyone,"pron. 每个人, 人人
"
of course,当然
myself,"pron. 我自己, 我亲自, 我独自"
yourself,pron. 你自己
hen,"n. 母鸡, 雌禽"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
seem,"vi. 象是, 似乎"
bored,a. 无聊的；烦人的；无趣的
someone,"pron. 有人, 某人"
diary,"n. 日记
"
activity,"n. 活动, 行动, 活跃, 活力
"
decide,"v. 决定, 判决"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
paragliding,(paraglide 的现在分词) v. 进行滑翔伞运动
feel like," 摸起来像是…, 有…的感觉; 想要…"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
bicycle,n. 自行车
building,"n. 建筑物, 建筑
"
trader,"n. 商人, 商船
"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
difference,"n. 不同, 差异
"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
because of,因为
below,"prep. 在下面
adv. 在下面"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
Central Park,中央公园（位于美国纽约）
Huangguoshu Waterfall,无
Hong Kong,"香港
"
Malaysia,"n. 马来西亚
"
Malaysian,"a. 马来西亚的
n. 马来西亚人"
Georgetown,乔治市(马来西亚港市)
Weld Quay,无
Penang Hill,无
Tian'anmen Square, 天安门广场
the Palace Museum, 故宫; 故宫博物院
Mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
housework,"n. 家事, 家务"
hardly,"adv. 刚刚, 几乎不, 勉强是"
