disability,"n. 无力, 无能, 残疾
"
disability,"n. 无力, 无能, 残疾
"
disabled,"a. 残废的, 有缺陷的, 失效的
"
disabled,"a. 残废的, 有缺陷的, 失效的
"
hearing,"n. 听, 听觉, 听讯
"
hearing,"n. 听, 听觉, 听讯
"
eyesight,"n. 视力, 目力"
eyesight,"n. 视力, 目力"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
infantile paralysis,"[医] 婴儿麻痹, 脊髓灰质炎"
infantile paralysis,"[医] 婴儿麻痹, 脊髓灰质炎"
Rosalyn, [人名] 罗莎琳
Rosalyn, [人名] 罗莎琳
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
ambition,"n. 野心, 志向"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
dictation,"n. 听写, 口述, 命令"
dictation,"n. 听写, 口述, 命令"
Sally,"n. 突击, 出击, 远足
vi. 突击, 出击, 出发"
Sally,"n. 突击, 出击, 远足
vi. 突击, 出击, 出发"
noisy,"a. 嘈杂的, 喧闹的
"
noisy,"a. 嘈杂的, 喧闹的
"
suitable,"a. 适当的, 相配的
"
suitable,"a. 适当的, 相配的
"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
beneficial,"a. 有益的, 受益的
"
beneficial,"a. 有益的, 受益的
"
Marty Fielding,无
Marty Fielding,无
in other words,换句话说
in other words,换句话说
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
adapt,"vt. 使适应, 改编
vi. 适应"
adapt,"vt. 使适应, 改编
vi. 适应"
adapt to,适应…;适合…
adapt to,适应…;适合…
bench,"n. 长椅子
"
bench,"n. 长椅子
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut out,"na. 割掉；除去；剪下；开辟
"
microscope,"n. 显微镜
"
microscope,"n. 显微镜
"
out of breath,上气不接下气
out of breath,上气不接下气
absence,"n. 缺席, 缺乏, 没有
"
absence,"n. 缺席, 缺乏, 没有
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
annoy,"vt. 使恼怒, 骚扰"
annoy,"vt. 使恼怒, 骚扰"
annoyed,a. 恼怒的；烦闷的
annoyed,a. 恼怒的；烦闷的
annoyance,"n. 烦恼, 打扰, 可厌之事
"
annoyance,"n. 烦恼, 打扰, 可厌之事
"
all in all,"总而言之, 合计, 头等重要的东西"
all in all,"总而言之, 合计, 头等重要的东西"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
software,"n. 软件
"
software,"n. 软件
"
sit around,"坐着不干, 袖手旁观"
sit around,"坐着不干, 袖手旁观"
as well as,"也, 又"
as well as,"也, 又"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
parrot,"n. 鹦鹉, 应声虫
vt. 学舌, 机械地模仿"
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
tank,"n. 槽, 箱, 柜, 罐, 池塘, 储水池, 坦克
vt. 储于箱中"
tortoise,"n. 龟, 行动迟缓的人"
tortoise,"n. 龟, 行动迟缓的人"
in many ways,在许多方面
in many ways,在许多方面
psychology,"n. 心理学, 心理状态
"
psychology,"n. 心理学, 心理状态
"
psychologically,"adv. 心理上, 从心理学角度"
psychologically,"adv. 心理上, 从心理学角度"
make fun of,取笑
make fun of,取笑
encouragement,"n. 鼓励, 激励, 奖励
"
encouragement,"n. 鼓励, 激励, 奖励
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
mainstream,n. 主流
mainstream,n. 主流
fulfilling,a. 能实现个人抱负的；令人高兴的；令人满意的
fulfilling,a. 能实现个人抱负的；令人高兴的；令人满意的
never mind,"没关系, 不用担心"
never mind,"没关系, 不用担心"
politics,"n. 政治, 政治学, 政见, 政治活动
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
abolish,"vt. 废止, 革除, 消灭
"
abolish,"vt. 废止, 革除, 消灭
"
abolition,"n. 废除, 废奴运动
"
abolition,"n. 废除, 废奴运动
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
"
literature,"n. 文学, 文艺, 著作
"
literature,"n. 文学, 文艺, 著作
"
Barry Minto,无
Barry Minto,无
Mount Kilimanjaro,[网络] 乞力马扎罗山；吉力马札罗山；吉力马扎罗山
Mount Kilimanjaro,[网络] 乞力马扎罗山；吉力马札罗山；吉力马扎罗山
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
assistance,"n. 协助, 援助
"
assistance,"n. 协助, 援助
"
congratulate,"vt. 祝贺, 庆贺"
congratulate,"vt. 祝贺, 庆贺"
congratulation,"n. 祝贺, 恭喜"
congratulation,"n. 祝贺, 恭喜"
bowling,n. 保龄球戏
bowling,n. 保龄球戏
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
all the best,万事吉利;一路平安;一帆风顺(祝酒或送行时用语)
all the best,万事吉利;一路平安;一帆风顺(祝酒或送行时用语)
architect,"n. 建筑师, 设计者, 缔造者"
architect,"n. 建筑师, 设计者, 缔造者"
Sanders,"[医] 檀香, 檀木"
Sanders,"[医] 檀香, 檀木"
adequate,"a. 适当的, 足够的
"
adequate,"a. 适当的, 足够的
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
wheelchair,n. 轮椅
wheelchair,n. 轮椅
handy,"a. 便利的, 敏捷的, 容易取得的
"
handy,"a. 便利的, 敏捷的, 容易取得的
"
earphone,"n. 耳机, 听筒
"
