heritage,"n. 遗产, 祖先遗留物, 继承物
"
creatively,adv. 创造性地；有创造力地
creative,"a. 有创造力的, 创作的, 产生的"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
promote,"vt. 促进, 晋升, 创办, 推销
"
cypress,"n. 柏, 落羽杉, 柏树
"
app,"[计] 应用, 应用程序; 相联并行处理器"
application,"n. 应用, 申请, 志愿书, 应用程序
"
take part in,"参与, 参加
"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
keep balance,[网络] 保持平衡；维持平衡
lead to,"导致, 通向"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
proposal,"n. 提议, 计划, 求婚
"
make a proposal,"提建议,求婚"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
committee,"n. 委员会
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
prevent,"v. 预防, 防止, 阻止, 妨碍"
prevent ... from,"阻止, 妨碍"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
contribution,"n. 捐助, 捐助之物, 贡献
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
department,"n. 部门, 系, 机关
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
within,"n. 内部, 里头
adv. 在内部, 在内心里
prep. 在...之内"
investigate,"v. 调查, 审查"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
donate,v. 捐赠
donate ... to ...,赠送，赠款，捐款，捐赠
disappear,"vi. 消失, 不见"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
make sure,确定
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
download,"[计] 卸载, 下栽"
republic,"n. 共和国, 共和政体, 团体, 界"
professional,"n. 专业人才
a. 专业的, 职业的"
archaeologist,n. 考古学家
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
sheet,"n. 床单, 张, 纸张, 印刷品, 裹尸布, 薄片
vt. 盖上被单, 遍布
vi. 大片落下
a. 片状的, 成薄片的
"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
chiwen,无
dragon,"n. 龙, 凶暴的人
"
forgive,"vt. 原谅, 宽恕, 免除
"
forgave,forgive的过去式
forgiven,forgive的过去分词
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
all over the world,全世界
tradition,"n. 传说, 传统, 交付
"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
historic,"a. 历史上著名的, 有历史性的"
opinion,"n. 意见, 评价, 主张
"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
comparison,"n. 比较, 对照, 比喻
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
forever,adv. 永远
Aswan Dam,阿斯旺水坝
the Nile, 尼罗河
Egypt,n. 埃及
Egyptian,"n. 埃及人
a. 埃及的, 埃及人的"
UNESCO,"联合国教育科学及文化组织, 联合国教科文组织"
"United Nations Educational, Scientific and Cultural Organization",[网络] 联合国教育科学及文化组织
Cairo,n. 开罗
Tanzania,n. 坦桑尼亚
the Kremlin,[网络] 克里姆林宫；会像克里姆林宫；克林姆林宫
Moscow,n. 莫斯科
Saint Basil's Cathedral,无
the Forbidden City, 紫禁城
Los Angeles,洛杉矶
poster,"n. 海报, 招贴, 驿马"
illegal,"a. 违法的, 不合规定的
"
illegally,"[法] 非法地, 不合法地, 违法地"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
hunter,"n. 猎人, 猎犬, 追求者"
immediately,"adv. 直接地, 立刻, 立即"
species,"n. 种, 类, 外形
"
shark,"n. 鲨鱼, 骗子
v. 诈骗"
fin,"n. 鳍, 鱼翅, 鳍状物, 五元纸币
vi. 猛挥鳍
vt. 装上翅, 切除鳍"
on earth,"在世上, 究竟"
die out,"熄灭, 平息, 消失"
alarming,"a. 使人惊恐的, 引起惊恐的"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
rating,"n. 等级, 额定功率, 责骂
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extinction,"n. 消失, 消灭, 废止
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
aware,"a. 知道的, 有觉悟的"
aware of, 意识到，知道
endanger,"vt. 危及
"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
on average, 平均起来
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
make progress,取得进步/展
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
concerned,"a. 关心的, 有关的, 参与的, 担心的"
concerned about,[网络] 担忧；关注；对…担忧
living,"n. 生活, 生计, 生存
a. 活的, 逼真的, 现存的"
adapt,"vt. 使适应, 改编
vi. 适应"
adapt to,适应…;适合…
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
under pressure,在压力强制下
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
antelope,n. 羚羊
Tibetan antelope,"n. 【动】藏羚羊
"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
make out,"na. 理解；发现；起草；证明
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
beauty,"n. 美, 美人"
remind,"vt. 提醒, 使想起"
remind sb. of sb.,"v. 提醒
"
remind sb. of sth.,"v. 提醒
"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
shot,"n. 发射, 炮弹, 射击, 射手, 投篮, 射门, 子弹, 射程, 拍摄, 注射
vt. 装弹, 使成颗粒状
a. 杂色的, 交织着的, 渗透的, 点焊的, 破旧的
shoot的过去式和过去分词"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
watch over,"监督, 保护, 照管
"
day and night,日以继夜
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
intend,"vt. 计划, 打算, 意思是
"
threat,"n. 恐吓, 恶兆, 威胁
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
exist,"vi. 存在, 生存, 发生"
harmony,"n. 协调, 和睦, 调和
"
goods,"n. 货物
"
creature,"n. 人, 动物, 创造物, 生物"
deer,n. 鹿
kangaroo,"n. 袋鼠
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
due to,"由于, 应归于"
insect,"n. 昆虫, 卑鄙的人
"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
binoculars,"n. 双目镜, 双筒镜
"
bird field guide,无
search for,搜查
dolphin,n. 海豚
Yangtze River dolphin,[网络] 白鳍豚；白暨豚；江豚
koala,n. 袋熊
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
stir up,"v. 转播；重播；搅拌；煽动
"
emotion,"n. 情绪, 激动, 强烈的情感
"
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
Tibetan,"a. 西藏的
n. 藏语, 西藏人"
Tibet,n. 西藏
blog,n. 博客；部落格；网络日志
blog post,[网络] 博客文章；博客帖子；部落格文章
blogger,n. 写博客的人；博客使用者
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
search engine,(指关键字搜寻演算法或是指包括搜寻演算法的套装软件)
chat,"n. 闲谈
vi. 闲谈, 聊天"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
identity card,n. 身份证
convenient,"a. 方便的, 合宜的
"
cash,"n. 现金
vt. 兑现"
update,"vt. 更新, 使现代化
n. 更新
"
database,"n. 数据库
"
software,"n. 软件
"
network,"n. 网络, 广播网, 网状物
"
stuck,stick的过去式和过去分词
keep sb. company,[网络] 陪伴；作伴；交往
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
benefit,"n. 利益
vt. 有益于
vi. 受益"
distance,"n. 距离, 远方, 遥远
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
now that,"既然..., 由于..."
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
province,"n. 省, 地方, 职权, 领域
"
conference,"n. 会议
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
