precise,"a. 精确的, 严谨的, 明确的
"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
Christianity,"n. 基督教, 基督教精神"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
realism,"n. 写实主义, 现实, 实在论
"
realist,"n. 现实主义者, 写实主义者, 实在论者"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
two-dimensional, 二维的
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
in particular,特别
set apart from,使不同于
humanistic,"a. 人本主义的, 人道主义的
"
humanity,"n. 人性, 人类, 博爱"
breakthrough,"n. 突破
"
influential,"a. 有影响的, 有势力的"
reputation,"n. 名誉, 名声, 声望
"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
mythology,n. 神话
client,"n. 客户, 顾客, 委托人
"
photography,"n. 摄影, 摄影术
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
sunrise,"n. 日出, 黎明, 拂晓"
convey,"vt. 传达, 运输, 转让
"
subjective,"a. 主观的, 个人的
"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
subsequent,"a. 后来的, 接下去的
"
fond,"a. 喜欢的, 宠爱的, 温柔的"
be fond of,"喜爱, 爱好"
fine art,"phr. （依靠丰富经验）在…方面的技能达到炉火纯青的地步
n. 美（艺）术（指绘画和雕塑）; 美（艺）术品"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
sculptor,n. 雕刻家
visual,"a. 视觉的
"
water lily,睡莲
pond,"n. 池塘
v. 筑成池塘"
arched,"a. 弓形结构的, 拱形的"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
investment,"n. 投资
"
bride,n. 新娘
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
