good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
morning,"n. 早晨, 早上, 初期"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
am,"be的单数第一人称
"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
to,"prep. 到, 向, 趋于
adv. 向前"
China,"n. 中国, 瓷器
a. 中国的"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
you,"pron. 你, 你们"
the,art. 那
the USA,[网络] 美国；悠游美国
the UK,n. 英国
hello,"interj. 喂, 嘿"
are,be的现在时复数或第二人称单数
yes,"adv. 是
n. 是, 同意
v. 同意"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
not,"adv. 不, 非, 未
"
oh,interj. (表示惊讶、恐怖、赞叹)哦
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
too,"adv. 也, 非常, 太"
hi,interj. 喂
thanks,"n. 感谢, 谢意, 谢忱
interj. 谢谢, 谢谢你"
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
mom,n. 妈妈
this,"pron. 这, 本
a. 这, 本
adv. 这么"
is,"be的现在式第三人称
"
my,"pron. 我的
"
teacher,"n. 教师, 老师, 导师"
how,"adv. 如何, 怎样, 多少, 多么
n. 方式"
do,"v. 做, 进行, 完成"
dad,"n. 爸爸, 爹爹"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
Ms.,"abbr. 多发性硬化
n. “M”的复数
"
afternoon,"n. 午后, 下午"
goodbye,interj. 再见
bye,"interj. 再会, 回头见
"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
and,"conj. 和, 与
"
OK,[网络] 确定；好；击
here,"adv. 在这里, 此时, 这里
n. 这里"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
me,pron. 我
what,"pron. 什么
interj. 怎么, 多么
a. 什么的
adv. 到什么程度"
your,"pron. 你的, 你们的"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
where,"adv. 在哪里
pron. 哪里
n. 地点"
from,"prep. 从, 来自, 根据"
Canada,n. 加拿大
America,"n. 美洲, 美国"
Japan,"n. 日本
"
England,[网络] 英国
they,"pron. 他们, 它们"
who,pron. 谁
Cuba,n. 古巴
he,"pron. 他
n. 男孩, 男人, 雄性动物"
she,pron. 她
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
telephone,"n. 电话, 电话机
v. 打电话"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
it,"pron. 它
"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
very much, 非常; 良; 无可不可
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
zero,"n. 零, 零点, 零度, 无, 乌有, 最低点
a. 零的, 没有的
vt. 调零, 对(炮火等)作协调校正
"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
two,"num. 二, 二个"
three,"num. 三, 三个"
four,"num. 四, 四个
"
five,"num. 五, 五个"
six,"num. 六, 六个"
seven,"num. 七, 七个"
eight,"num. 八, 八个"
nine,"num. 九, 九个"
ten,"num. 十, 十个"
her,"pron. 她的, 她"
family,"n. 家庭, 家人, 族
a. 家庭的"
twelve,"num. 十二, 十二个"
year,"n. 年, 年度, 年龄
"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
eleven,"num. 十一, 十一个"
thirteen,"num. 十三, 十三个"
fourteen,"num. 十四, 十四个"
fifteen,"num. 十五, 十五个"
sixteen,"num. 十六, 十六个"
seventeen,"num. 十七, 十七个"
eighteen,"num. 十八, 十八个"
nineteen,"num. 十九, 十九个"
twenty,"num. 二十, 二十个"
English,[网络] 英语
an,art. 一
eraser,n. 擦子
map,"n. 地图, 天体图, 映像
vt. 映射, 绘制...地图, 计划
"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
desk,"n. 书桌, 办公桌, 工作台"
spell,"n. 符咒, 魅力, 轮值, 轮班, 工作时间, 一次发作
vt. 拼写, 拼成, 琢磨, 理解, 招致, 轮换, 迷住
vi. 轮换, 拼字"
a,"第一个字母 A; 一个; 第一的
art. "
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
apple,"n. 苹果, 家伙
"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
again,"adv. 再一次, 又, 到原处"
those,pron. 那些
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
these,pron. 这些
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
car,"n. 汽车, 客车
"
egg,"n. 蛋, 卵
vt. 挑唆, 煽动, 调蛋黄"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
bus,"n. 公共汽车
"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
Beijing International School,无
his,"pron. 他的
"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
but,"prep. 除了
conj. 但是
adv. 仅仅"
friend,"n. 朋友, 支持者, 赞助者
"
junior,"n. 年少者, 地位较低者, 大学三年级学生
a. 年少的, 下级的, 后进的"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
junior high school,初中
girl,"n. 女孩, 少女, 女佣"
we,pron. 我们
student,"n. 学生, 研究者, 学者"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
