invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
disappointed,a. 失望的
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
seem,"vi. 象是, 似乎"
opera,n. 歌剧
excite,"vt. 刺激, 使兴奋, 激励"
care for,"喜欢, 照顾, 为...操心, 尊重"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
lively,"a. 活泼的, 鲜明的, 生动的"
cheer up,"v. 鼓舞；振作一点
"
almost,"adv. 几乎, 差不多"
mainly,"adv. 主要地, 大抵"
role,"n. 角色, 职责, 任务
"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
painting,"n. 画, 绘画, 油漆
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
worried,"a. 担心的, 闷闷不乐的"
in the end,"最后, 终于"
interested,"a. 感兴趣的
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
exam,"n. 考试, 测验"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
be strict with,"对...严格, 对...严历"
shy,"n. 惊跳, 惊避
a. 胆怯的, 畏缩的, 迟疑的, 羞怯的
vi. 惊退, 乱投, 乱掷, 厌恶, 避开
vt. 乱投, 乱掷"
take it easy,"从容, 不紧张"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
someone,"pron. 有人, 某人"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
joke,"n. 笑话, 玩笑, 笑柄
v. 开玩笑, 取笑, 作弄"
by the way,"在途中, 顺便"
yeah,"adv. (非正式)是, 是的"
usual,"a. 平常的, 通常的"
as usual,照常
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
lovely,"a. 可爱的, 有趣的"
helpful,"a. 有帮助的, 有益的, 有用的"
international,"a. 国际的
n. 国别设定
"
useless,"a. 无用的, 无效的, 无益的
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
deal with,"安排, 处理, 涉及, 做生意"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
sadness,"n. 悲哀, 悲伤"
anyone,pron. 任何人
unfair,"a. 不公平的, 不正直的, 不正当的
"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
even though,"虽然, 尽管"
not ... any longer,不再
no longer,不再
test,"n. 测试, 试验, 化验, 检验, 考验, 甲壳
vt. 测试, 试验, 化验
vi. 接受测验, 进行测试"
nervous,"a. 神经紧张的, 不安的, 神经的
"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
rich,"a. 富裕的, 富饶的, 浓厚的, 贵重的"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
confident,"a. 有信心的, 有把握的"
mood,"n. 心情, 气氛, 生气, 基调
"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
be proud of,"自豪, 高兴"
anyway,"adv. 无论如何, 至少"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
passport,"n. 护照, 手段, 通行证
"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
grandson,"n. 孙子, 外孙"
environment,"n. 环境, 外界, 围绕
"
especially,"adv. 尤其, 特别, 格外"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
fill with sth.,"v. 充满
"
trouble,"n. 烦恼, 麻烦, 困难, 动乱, 故障
vt. 困扰, 麻烦, 使烦恼, 折磨
vi. 烦恼, 费心"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
