off and on,断断续续地
take hold, （如通过抓握来）夺取; 扎根
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
turn out,"v. 证明；原来；到场
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
agony,"n. 极大的痛苦, 挣扎
"
assign,"vt. 分配, 指派, 赋值
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
cheerless,a. 不愉快的
tedious,"a. 沉闷的, 冗长乏味的"
reputation,"n. 名誉, 名声, 声望
"
inability,"n. 无能, 无力"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
out of date,"过时的, 废弃的
"
excessively,"adv. 过多, 极度, 过度, 过分"
excessive,"a. 过度的, 过多的, 极端的
"
prim,"a. 整洁的, 端正的, 规规矩矩的, 呆板的, 拘谨的
vt. 弄整齐, 使显出一本正经的表情
vi. 作出一本正经的样子"
primly,"adv. 循规蹈矩地, 整洁地"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
wavy,"a. 有波浪的, 多浪的, 波浪状的, 波动的, 不稳定的"
necktie,n. 领带
pointed,"a. 尖的, 有尖顶的, 锐利的, 率直的, 显然的"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
informal,"a. 非正式的, 不拘礼的, 通俗的
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
distribute,"vt. 分配, 散布, 分发
"
finally,"adv. 最后, 终于"
face up to,勇敢地面对
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
spaghetti,n. 意大利面条
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
socially,"adv. 在社会上, 在社交上, 以社会生活方式"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
recapture,"n. 取回, 夺回
vt. 再捕获, 夺回, 重温"
relive,"vi. 再生, 复活
vt. 再体验"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
turn in,"v. 向里弯曲
"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
what's more,[网络] 而且；另外；更重要的是
contempt,"n. 轻视, 轻蔑
"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
open-hearted,"a. 坦率的, 直率的； 和善的, 慈善的; 一片至诚"
enjoyment,"n. 享乐, 快乐, 享受
"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
avoid,"vt. 避免, 防止, 撤消
"
demonstration,"n. 示范, 实证
"
calling,"n. 职业, 行业, 呼唤, 召集
"
career,"n. 事业, 生涯, 成功
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
essence,"n. 实质, 本质, 香精
"
tradition,"n. 传说, 传统, 交付
"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
valedictorian,"n. 致告别辞者,告别演说者"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
participate in,"参加, 参与, 分享"
registration,"n. 登记, 挂号, 注册
"
fee,"n. 费用, 小费, 封地, 所有权
vt. 付费给"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
compare to, 把…比作， 喻为; 与…相比
falsify,"vt. 伪造, 歪曲
vi. 说谎"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
drown out,na. (洪水)把(人)赶跑；把(另一声音)压倒
here and there,"各处, 到处, 四处"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
make it,"及时抵达, 做成"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
policy,"n. 政策, 方针, 策略, 保险单
"
regarding,prep. 关于
dignity,"n. 尊严, 高贵
"
muster,"n. 召集, 集合, 检阅, 清单, 花名册, 样品
vt. 召集, 集合, 应召
vi. 集合, 集中"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
expectation,"n. 期待, 指望, 展望
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
significance,"n. 重要性, 意义, 意味
"
hoe,"n. 锄头
v. 用锄耕地, 锄"
spring up,出现
delicate,"a. 细致优雅的, 微妙的, 美味的
"
withdrawn,withdraw的过去分词
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
exception,"n. 例外, 除外, 异议
"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
cabbie,n. 出租马车车夫; 出租汽车司机
be lost in,沉醉于…
lose oneself in,"在…中迷路了;对…入迷,专注于…"
windshield,"n. 挡风玻璃
"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
available,"a. 可利用的, 可获得的, 有效的
"
apologetically,"adv. 道歉地, 辩解地"
apologetic,"a. 道歉的, 急于认错的, 辩护的
"
or something,或是什么的
go ahead,前进
know ... by heart,[网络] 记在心中；能背上来
learn by heart,"na. 记住；熟记
"
on the road,"在旅途中, 在...过程中"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
might as well,"还是...的好, 不妨"
