style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
bustle,"n. 喧闹, 裙撑
vi. 奔忙, 喧闹
vt. 使忙碌, 催促"
bustling,"a. 熙熙攘攘的, 忙乱的"
elementary,"a. 初步的, 基本的
"
telling,"a. 有效的, 显著的, 显露内心活动的"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
vigorously,"adv. 朝气蓬勃, 精力充沛, 壮健, 茁壮, 健壮, 强有力"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
not in the least,"绝对不, 一点也不"
find one's way,"na. 到达
"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
exploratory,"a. 探究, 探查, 探察(伤处), 探险, 探测, 勘探, 考察, 钻研, 探索
"
harmless,"a. 无害处的, 未受损害的, 无辜的, 无恶意的
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
reposition,"n. 复位, 储藏
vt. 改变...的位置, 使...复位"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
expectantly,"adv. 期待, 期待着, 期望, 预期"
await,"vt. 等候
vi. 等待着"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
on occasion,有时
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
parental,"a. 父母亲的, 做双亲的, 作为渊源的
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
investigate,"v. 调查, 审查"
throw light on,"照亮,阐明,使理解,启迪"
creativity,"n. 创造力, 创造性"
anecdote,"n. 轶事, 奇闻"
colleague,"n. 同事, 同僚"
desirable,"a. 令人想望的, 可取的"
accomplish,"vt. 完成, 达到, 实现, 使完美"
accomplishment,"n. 成就, 完成"
in due course,"及时地, 在适当时
"
sympathetically,"adv. 怜悯地, 同情地"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
effectively,"adv. 有效地, 有力地, 实际上"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
self-reliance,自力更生；依靠自已
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
make up for,"补偿,弥补"
misdeed,"n. 罪行, 犯罪
"
creative,"a. 有创造力的, 创作的, 产生的"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
in retrospect,回顾
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
well-intentioned, 出于好心的；好心好意的；善意的
intention,"n. 意图, 目的, 含义
"
observer,"n. 观察者, 遵守者, 观察员
"
come to sb.'s rescue,无
clumsily,"adv. 笨拙, 粗陋, 不漂亮"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
facility,"n. 容易, 灵巧, 设备
"
gentleness,"n. 温顺, 柔和, 亲切"
mold,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
tradition,"n. 传说, 传统, 交付
"
continual,"a. 持续不断的, 继续的
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
calligrapher,n. 书法家
work on,"继续工作, 设法说服, 影响"
work at,解(题)
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
reversal,"n. 翻转, 颠倒, 反转
"
priority,"n. 优先权, 优先
"
bold,"a. 大胆的
n. 粗体
"
departure,"n. 离开, 出发, 违背, 偏离
"
inseparable,"a. 不能分的
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
summarize,"v. 概述, 总结"
originality,"n. 创意, 新奇, 独创能力, 原始"
independence,"n. 独立, 自立, 自主
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
fearful,"a. 可怕的, 恐怕的, 担心的"
on the one hand ... on the other hand, 一方面…，另一方面…
on the other hand,另一方面
comparable,"a. 可比较的, 比得上的"
promote,"vt. 促进, 晋升, 创办, 推销
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
pick up,"v. 拾起；探出；重新开始
"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
enormous,"a. 巨大的, 庞大的"
technological,"a. 技术的
"
innovation,"n. 改革, 创新
"
exaggerate,"v. 夸大, 夸张"
breakthrough,"n. 突破
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
furthermore,"adv. 此外, 而且"
intend,"vt. 计划, 打算, 意思是
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
defect,"n. 缺点
"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
consumption,"n. 消费, 消费量, 痨病
"
appall,"vt. 使丧胆, 使惊骇"
video,"n. 影像, 电视
a. 图像的, 电视的"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
keep track of,了解
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
percentage,"n. 百分比, 比率, 部分, 可能性
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
from sb.'s point of view,无
permission,"n. 许可, 允许
"
incentive,"n. 动机
a. 激励的"
go on vacation,去度假
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
additional,"a. 附加的, 另外的, 额外的
"
think twice,重新考虑
cajole,"vt. 以甜言蜜语哄骗, 勾引"
fall apart,"崩溃, 土崩瓦解"
end up,"竖着, 结束, 死"
end up doing sth.,"结果是(做)..., 以(做)...而告终, 结果变成..., 最后发展为..."
geode,"n. 空心石核, 晶洞, 晶洞状物
"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
undoubtedly,"adv. 无疑, 必定, 确实地"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
ringer,"n. 套环, 投环, 按铃者, 敲钟者"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
be confronted with,面临
doorway,"n. 门口, 途径"
donation,"n. 捐赠物, 捐款, 捐赠
"
donate,v. 捐赠
kettle,"n. 茶壶, 罐
"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
confusion,"n. 混乱, 混淆, 无秩序
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
stammer,"v. 口吃, 结结巴巴地说
n. 口吃, 结巴"
no-no,"n. 禁例
"
deny,"v. 否认, 拒绝"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
fall into,"落入, 陷于, 开始, 分成, 属于, 注入"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
nothing more than,不过是...
whim,"n. 一时的兴致, 冲动, 怪念头, 绞盘"
attain,"vt. 达到, 获得
vi. 达到"
wear and tear,"磨损, 折磨
"
dependable,"a. 可信任的, 可靠的, 可信赖的"
primarily,"adv. 主要地, 首先地"
minimal,"a. 最小的, 极微的, 最小限度的
"
exceptionally,adv. 特殊地；异常地；例外地
exceptional,"a. 例外的, 异常的, 特别的"
energize,"vt. 使活跃, 激励, 供给...能量
"
cherish,"vt. 珍爱, 怀有, 爱护"
poetry,"n. 诗, 韵文, 诗歌艺术"
fabricate,"vt. 制造, 建造, 装配, 伪造"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
well off,"富裕的, 处境好的"
well-off,"富裕的, 处境好的"
emotional,"a. 情绪的, 情感的
"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
out of place,"不在合适位置, 不合适"
dated,"a. 有日期的, 陈旧的"
shortly after, …之后立即
go south,[网络] 向南走；一直往南走；冲南走
seemingly,"adv. 看来似乎, 表面上看来"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
memorable,"a. 值得纪念的, 难忘的"
in contrast to,"与...形成对照, 而..."
consequence,"n. 结果, 重要性
"
item,"n. 项目, 条款, 一则, 项
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
high-end, 高端
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
apron,"n. 围裙
"
economically,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上"
economical,"a. 节俭的, 经济的, 合算的
"
genuine,"a. 真正的, 真实的, 诚恳的
"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
countless,"a. 数不尽的, 无数的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
bless,"vt. 祝福, 祈佑, 使神圣化"
thankful,"a. 感谢的, 感激的, 欣慰的"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
mansion,"n. 大厦, 宅邸"
dime,n. 10分硬币(美、加)
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
billionaire,n. 亿万富翁
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
get away with,na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃；吃掉，喝掉
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
corporate,"a. 社团的, 合伙的, 公司的
"
memo,"n. 备忘录
"
mayor,"n. 市长
"
by all accounts,据大家所说
blend,"vt. 混合
n. 混合"
blend in, （使）（与…）和谐或协调
throw one's weight around,"滥用权势, 仗势欺人, 摆起架子指使人
"
barber,n. 理发师
employee,"n. 职员, 员工, 受雇人员
"
hold to,"na. “Hold fast”的变体
"
celebrity,"n. 名声, 名人"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
steer clear of,"避开, 绕开"
