system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
clone,"n. 无性系
"
product,"n. 产品, 结果, 乘积
"
attractive,"a. 吸引人的, 有魅力的
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
consumer,"n. 消费者
"
economy,"n. 经济, 理财, 节约
"
species,"n. 种, 类, 外形
"
technology,"n. 技术, 工业技术, 术语
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
organization,"n. 组织, 结构, 团体, 体制
"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
literature,"n. 文学, 文艺, 著作
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
society,n. 社会；社交界；交往；社团
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
disease,"n. 疾病, 弊病
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
behavior,"n. 行为, 举止
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
ability,"n. 能力, 才干
"
economic,"a. 经济上的, 实用的, 节省的
"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
intelligence,"n. 智力, 情报, 信息
"
composition,"n. 作文, 创作, 组成
"
community,"n. 社区, 公众, 共有, 共同体
"
