Jenny,"n. 纺纱机, 移动吊车, 母驴"
Canada,n. 加拿大
Danny,"n. 丹尼（男子名, 等于Daniel）"
thanks,"n. 感谢, 谢意, 谢忱
interj. 谢谢, 谢谢你"
student,"n. 学生, 研究者, 学者"
four,"num. 四, 四个
"
five,"num. 五, 五个"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
Jones,n. 琼斯（姓氏）
homeroom,n. 学生接受指导的教室
Kate,"n. 凯特（女子名, 等于Catherine）"
classmate,n. 同班同学
Jack,"n. 插座, 千斤顶, 男人
vt. 抬起, 提醒, 扛举, 增加, 提高, 放弃
a. 雄的
"
visiting,"n. 参观, 拜访, 访问"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
classroom,n. 教室
office,"n. 办公室, 部, 公职, 职责
"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
lab,"n. 实验室, 研究室
"
eraser,n. 擦子
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
wall,"n. 墙, 墙壁, 垣, 内壁, 分界物, 屏障
a. 墙的
vt. 给...建墙, 禁闭, 用墙围住
"
may,"n. 五月
aux. 愿能, 可以, 愿意"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
OK,[网络] 确定；好；击
borrow,"vt. 借, 借入, 借用
vi. 借
"
two,"num. 二, 二个"
three,"num. 三, 三个"
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
later,"adv. 以后, 随后"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
ten,"num. 十, 十个"
six,"num. 六, 六个"
seven,"num. 七, 七个"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
nine,"num. 九, 九个"
eight,"num. 八, 八个"
Smith,"comb. 表示""金属工匠"""
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
blouse,n. 宽松的上衣
really,"adv. 实际上, 真实地, 实在"
Kim,n. 金姆（人名）
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
rainbow,"n. 彩虹
a. 五彩缤纷的"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
sky,"n. 天空, 天色, 天堂
vt. 击向空中, 挂在高处
vi. 高涨"
Bob,"vt. 剪短, 敲击
vi. 振动, 上下跳动
n. 短发, 悬挂的饰品, 浮子, 摆动, 轻敲, 5便士"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
glove,"n. 手套
vt. 给...戴手套"
maybe,"adv. 也许, 大概
n. 可能性"
Lynn,n. 林恩（姓氏）
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
dinosaur,n. 恐龙
T-shirt,"短袖运动衫,短袖汗衫"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
hat,"n. 帽子
vt. 给...戴帽子"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
colourful,"a. 颜色丰富的, 鲜艳的, 艳丽的, 多色的, 丰富多彩的, 吸引人的, 引人入胜的
"
so,"adv. 如此, 如是, 如...那样
conj. 所以, 因此
pron. 这样"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
report,"n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单
vt. 报告, 汇报, 转述, 报道, 揭发, 使报到
vi. 报告, 写报道, 报到
"
traditional,"a. 传统的, 惯例的
"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
sari,n. 莎丽(印度妇女用的裹身布)
India,n. 印度
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
Saturday,n. 星期六
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
pair,"n. 一双, 一对, 一副
v. (使)成对"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
Robin,"n. 旅鸫
"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
smell,"n. 味道, 气味, 嗅觉, 嗅, 臭味, 气息
vt. 闻, 探出, 察觉, 发出...的气味
vi. 嗅, 散发气味, 发臭"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
homework,"n. 家庭作业, 家里做的工作
"
singer,n. 歌手
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
metre,"n. 公尺, 格律, 韵律
"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
against,"prep. 反对, 对着, 倚靠"
