sport,"n. 运动, 游戏, 娱乐, 消遣, 玩笑
a. 运动的, 户外穿戴的
vi. 游戏, 参加体育运动, 戏弄, 产生变种
vt. 炫耀, 使产生变种"
football,"n. 足球, 橄榄球"
any,"a. 任何的
pron. 任何"
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
or,"conj. 或, 或者
"
basketball,n. 篮球
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
difficult,a. 困难的
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
very,"a. 真正的, 恰好的, 十足的, 特有的
adv. 非常, 完全"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
policeman,"n. 警察
"
healthy,"a. 健康的, 有益健康的, 卫生的
"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
before,"prep. 在...之前
conj. 在...之前
adv. 在前"
after,"prep. 在...之后, 由于
conj. 在...之后
adv. 后来"
bad,"a. 坏的
n. 坏
adv. 坏地"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
often,"adv. 时常, 常常"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
angry,"a. 生气的, 愤怒的"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
swam,swim的过去式
ship,"n. 船, 舰
vt. 以船运送, 装船, 运送
vi. 上船, 乘船"
visit,"n. 拜访, 访问, 游览, 视察
vt. 拜访, 访问, 参观, 视察, 降临
vi. 访问, 参观, 闲谈"
clever,"a. 聪明的, 精明的"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
got,"get的过去式和过去分词
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
begin,"v. 开始
"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
early,"a. 早的, 早熟的
adv. 很早, 初"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
every,"a. 每一, 所有的"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
good-bye,再见（歌曲名）
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
