a bit of,一点
a copy of,一份
a couple of,"一对..., 三两个..."
a cup of,一杯…
a few,"几个, 少数, 一些"
a kind of,"一种,一类"
a lot of,许多的
lots of,"许多的..., 大量的..."
a number of,许多的
a piece of,"一块..., 一片..."
above all,"尤其是, 首先"
according to,"根据, 按照；取决于；据…所说"
achieve one's dreams,无
across from,在...对面
add ... to ...,"na. 增加
"
after a while,过了一会儿
after all,毕竟
again and again,"再三地, 反复地"
agree on,"就…取得一致意见,商定"
agree to,"同意,赞成…"
agree with,"同意…,与…意见一致;适应…"
aim at,"v. 目的在于
"
all by oneself,"独立,独自,单独"
all day,整天
all day long,整天
all in all,"总而言之, 合计, 头等重要的东西"
all kinds of,各种各样的
all over,"全部结束, 到处, 浑身"
all over the world,全世界
all around the world,[网络] 全世界；世界各地；在世界上
all right,"好, 顺利, 良好的, 正确的"
all the same,仍然
all the time,始终
all year round,一年到头，终年；全年地，整年地
along with,"与…一道,与…一起,连同…"
and so on,等等
answer the phone,接电话
apologize to sb. for sth.,[网络] 因某事向某人道歉
argue about,"争论…,辩论…"
argue with,和…辩论
arrive at,"到达, 达到"
as a result,结果
as for,至于
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
as long as,只要...
as soon as,一...就
as soon as possible,尽快
as usual,照常
as well,也
as well as,"也, 又"
ask for,"na. 要(价)；来找
"
ask one's permission,无
at breakfast, 正在吃早饭
at lunch,"在吃午饭,在午餐时刻"
at supper,无
at first,起先
at last,终于
at least,"至少
"
at night,在晚上
at noon,adv. 在中午
at once,立刻
at present,"现在, 目前"
at school,"在学校, 在上课, 在求学"
at table,在餐桌边
at the age of,在…年龄的时候
at the back of,在…后方〔背后〕; 支持; 在内心中
at the beginning of,在…刚开始的时候
at the corner of,无
at the doctor's,[网络] 在诊所；在医务室；看医生
at the edge of,在…的边缘
at the end of,"在…末尾,在…结束时"
at the foot of,在…的脚下
at the front of,[网络] 在……前面；在…的前面；在…的前部
in the front of,在最前面; 在最重要的位置
at the moment,此刻
at the same time,"同时, 但是"
at the sight of,在看到…时
at the speed of,以…的速度
at weekends, 在周末
at work,"在工作, 在运转"
avoid doing sth.,[网络] 避免做某事；避免干某事；防止做某事
be able to do sth.,[网络] 能够做某事；能做某事；有能力做某事
be about to do sth., 即将做某事
be afraid of sth.,害怕
be afraid of doing sth.,无
be allowed to do sth.,[网络] 被允许做什么；被允许做某事；被允许干
be angry with sb.,对(某人)生气
be asleep,[网络] 睡着；麻痹了；睡着了
be away from, 远离；从…离开; 距离
be bad for,对…有害
be based on,"以…为基础,以…为根据"
be blind to,"对…视而不见,看不懂"
be born in,[网络] 出生于；出生在；诞生于
be busy with sth.,忙于
be busy doing sth.,忙于(做)...
be careful,[网络] 小心；当心；注意
be certain to do sth.,无
be close to,"接近于..., 在...附近, 在...左近"
be covered with,"被...盖满, 充满着..."
be crowded with,"充满,满是"
be different from,"与…不同,和…不一样"
be experienced in,"v. 有经验
"
be familiar to,对…熟悉的
be famous as,作为…而闻名遐迩
be famous for,"因…而出名,以…着称"
be far from,"v. 远离
"
be fed up with,"饱受,厌烦"
be filled with,充满…
be fit for,适合于
be fond of,"喜爱, 爱好"
be free from,免于…
be friendly to, 对…友好/友善
be frightened to do sth.,无
be full of,充满
be gone,离开，离走；[用于祈使句]走开，滚开
be good at,擅长
be good for,"值得, 有效"
be ill in bed,无
be in, 到达，执政; 在家; 搞
be in agreement,[网络] 意见一致；意见一致的；同意
be interested in,对…很感兴趣
be keen on,喜爱
be kind to,"na. 对…厚道
"
be known as,被认为是
be late for,迟到
be linked to,与...连接
be mad at,对…生气
be made from,"用…制造,由…制成"
be made of,由...所组成
be made to do sth.,无
be made up of,由...所组成
be moved by,无
be off,"离开,取消,竣工,变坏"
be open to,"对...开放, 愿接受...的"
be pleased with,"对…喜欢,满意于"
be poor in,无
be proud of,"自豪, 高兴"
be rich in,富有...的
be sad for,无
be serious about, 对…是认真的，认真对待
be short for, 是…的简称；是…的缩写
be short of,"缺乏..., ...不足"
be similar to,与...相似
be sorry for,"对...感到懊悔, 对...感到遗憾, 为...感到惋惜, 对...感到怜悯"
be strange to,对...感到陌生
be stressed out, 紧张，饱受压力
be strict in,[网络] 对某事严格要求；对某事要求严格；严于
be supposed to do sth., 应当，应该
be sure to do sth.,"na. 必定
"
be surprised at,对…惊讶
be talented in,无
be terrified of,对...感到惊恐
be thankful to sb.,[网络] 感激；感谢；感激的
be tired of,厌烦
be up to,"胜任,达到,由…负责"
be used as,[网络] 被用作；被用做；被当作
be used for,用于…
be used to do sth.,无
be used to doing sth.,无
get used to doing sth.,无
be willing to do sth., 愿意做某事
be worn out,[网络] 筋疲力尽；被损坏；穿破
be worried about,为…着急
be worth doing sth.,无
because of,因为
before long,不久以后
beg sb. to do sth.,"na. 去乞讨；没有买主
"
