mutual,"a. 相互的, 共有的
"
similarity,"n. 类似, 类似处
"
in need,"在急需时,在贫困时,在危难中"
find out,"na. 查出；发现；看清…的面目；识破
"
enhance,"vt. 提高, 加强, 增加"
aspect,"n. 外观, 方面, 面貌, 方向
"
emotional,"a. 情绪的, 情感的
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
consist,"vi. 组成, 存在于, 一致"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
unresolved,"a. 无决断力的, 不果断的, 无决心的, 未解决的, 未澄清的, 未议决的, 未分解的
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
willingness,"n. 乐意, 心甘情愿, 愿意"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
assess,"vt. 估定, 对...征税, 评定
"
misconception,n. 误解
prevent,"v. 预防, 防止, 阻止, 妨碍"
burn out,"烧坏, 烧掉, 烧尽
"
consist of,由...组成
due to,"由于, 应归于"
prevent sb. from doing sth.,无
pray,"v. 祈祷, 恳求, 请"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
noisy,"a. 嘈杂的, 喧闹的
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
abundant,"a. 丰富的, 充分的, 大量的"
disappointment,n. 失望
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
chopstick,n. 筷子
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
