afternoon,"n. 午后, 下午"
again,"adv. 再一次, 又, 到原处"
am,"be的单数第一人称
"
and,"conj. 和, 与
"
are,be的现在时复数或第二人称单数
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
English class,英国肉鸡
math class,无
classmate,n. 同班同学
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
evening,"n. 傍晚, 晚间, 末期"
famous,"a. 出名的, 极好的"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
first name,"名
"
last name,姓
he,"pron. 他
n. 男孩, 男人, 雄性动物"
her,"pron. 她的, 她"
his,"pron. 他的
"
I,"pron. 我
n. 英语字母表的第9个字母；（罗马数字）1
abbr. 岛，群岛
"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
in my class,无
is,"be的现在式第三人称
"
it,"pron. 它
"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
married,"a. 已婚的, 婚姻的
"
math,n. 数学
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
morning,"n. 早晨, 早上, 初期"
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
Mrs.,n. 先生
Ms.,"abbr. 多发性硬化
n. “M”的复数
"
my,"pron. 我的
"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
oh,interj. (表示惊讶、恐怖、赞叹)哦
our,pron. 我们的
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
phone number,电话号码
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
she,pron. 她
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
teacher,"n. 教师, 老师, 导师"
there,adv. 在那里
over there,在那边
too,"adv. 也, 非常, 太"
also,"adv. 也, 并且, 同样地"
yes,"adv. 是
n. 是, 同意
v. 同意"
you,"pron. 你, 你们"
your,"pron. 你的, 你们的"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
address book,通讯录
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
behind,"adv. 在后地
prep. 在...背后"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
book bag,书包，书袋
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
briefcase,n. 公事包
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
English book, 英语书
café,无
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
car,"n. 汽车, 客车
"
cassette player,n. 卡式录音
CD player,激光唱机；CD播放器
cell phone,n. 手机
cellphone,n. 蜂窝式便携无线电话；大哥大
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
chopstick,n. 筷子
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
desk,"n. 书桌, 办公桌, 工作台"
dictionary,"n. 字典, 词典
"
English dictionary,无
DVD player,数字影碟[播 放]机
earring,"n. 耳环, 耳饰"
encyclopedia,n. 百科全书
eraser,n. 擦子
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
gone,"a. 离去的, 死去的, 用完的
go的过去分词"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
I bet ...,我确信
in front of,在...前面
interesting,a. 有趣的
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
location,"n. 位置, 场所, 特定区域
"
